id,name,role,image_url,small_image_url,link,average_rating,ratings_count,text_reviews_count,about
600437,Margret Geraghty,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/600437.Margret_Geraghty,3.98,232,19,
69224,Jennifer  Lynch,,"
https://images.gr-assets.com/authors/1187927586p5/69224.jpg
","
https://images.gr-assets.com/authors/1187927586p2/69224.jpg
",https://www.goodreads.com/author/show/69224.Jennifer_Lynch,3.63,7960,713,Jennifer Chambers Lynch is an American film director and screenwriter. She is the daughter of artist and filmmaker David Lynch.
3253269,Richard Rankin Russell,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/3253269.Richard_Rankin_Russell,4.51,37,0,
6535186,Joël Dicker,,"
https://images.gr-assets.com/authors/1474439170p5/6535186.jpg
","
https://images.gr-assets.com/authors/1474439170p2/6535186.jpg
",https://www.goodreads.com/author/show/6535186.Jo_l_Dicker,4.03,145157,15470,"Joël Dicker was born in 1985 in Geneva, Switzerland, where he studied law. He spent childhood summers in New England, particularly in Stonington and Bar Harbor, Maine. The Truth About the Harry Quebert Affair won three French literary prizes, including the Grand Prix du Roman from the Académie Française, and was a finalist for the Prix Goncourt. Dicker lives in Geneva."
7793421,Sam Taylor,Translator,"
https://images.gr-assets.com/authors/1390663625p5/7793421.jpg
","
https://images.gr-assets.com/authors/1390663625p2/7793421.jpg
",https://www.goodreads.com/author/show/7793421.Sam_Taylor,3.56,136949,16140,"<i>Librarian Note: There is more than one author in the GoodReads database with this name.</i><br /><br />SAM TAYLOR / BIO<br />Novelist. Literary translator. Journalist.<br /><br />Born in Nottinghamshire, England in 1970, Sam Taylor began his career as a journalist with The Observer. <br /><br />In 2001, he quit his job and moved to southwest France, where he wrote four novels, learned French, and raised a family.<br /> <br />In 2010, he translated his first novel: Laurent Binet's HHhH.<br ..."
8521772,Natalie  Diaz,,"
https://s.gr-assets.com/assets/nophoto/user/f_200x266-3061b784cc8e7f021c6430c9aba94587.png
","
https://s.gr-assets.com/assets/nophoto/user/f_50x66-6a03a5c12233c941481992b82eea8d23.png
",https://www.goodreads.com/author/show/8521772.Natalie_Diaz,4.13,110,3,"Founder of the Twiniversity website and director of the Manhattan Twins Club, Natalie Diaz has been featured widely in the media. She lives in New York City with her husband and their thirteen-year-old fraternal twins."
7517839,Tom Morkes,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/7517839.Tom_Morkes,3.94,360,89,
717280,Ed Oakley,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/717280.Ed_Oakley,3.30,110,8,
396890,David Jackson,Editor,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/396890.David_Jackson,3.86,351,67,"There are several authors with this name.<br />Thriller author: <a href=""https://www.goodreads.com/author/show/5779269.David_Jackson"" title=""David Jackson"" rel=""nofollow noopener"">David Jackson</a> (DS Nathan Cody and Callum Doyle series, 2 space profile) "
7268060,Adrian Hon,,"
https://images.gr-assets.com/authors/1450194784p5/7268060.jpg
","
https://images.gr-assets.com/authors/1450194784p2/7268060.jpg
",https://www.goodreads.com/author/show/7268060.Adrian_Hon,4.18,119,24,"Adrian Hon is co-founder and CEO at Six to Start, creators of gamelike stories and story-like games including the world's bestselling smartphone fitness game, ""Zombies, Run!"" with four million players. Six to Start's clients have included Disney, the BBC, Channel 4, and Penguin, and the company has won multiple awards including Best of Show at SXSW. <br /><br />Adrian is author of A History of the Future in 100 Objects, and has written a column about technology for the Telegraph. He originall..."
