id,name,role,image_url,small_image_url,link,average_rating,ratings_count,text_reviews_count,about
147891,Cal Newport,,"
https://images.gr-assets.com/authors/1542539623p5/147891.jpg
","
https://images.gr-assets.com/authors/1542539623p2/147891.jpg
",https://www.goodreads.com/author/show/147891.Cal_Newport,4.15,148898,14361,"Cal Newport is an Associate Professor of Computer Science at Georgetown University, and the author most recently of Deep Work, a book which argues that focus is the new I.Q. in the modern workplace, and So Good They Can’t Ignore You, a book which debunks the long-held belief that “follow your passion” is good advice. He has also written three popular books of unconventional advice for students. His ideas and writing are frequently featured in major publications and on TV and radio."
1169883,Fernando M. Reimers,,"
https://s.gr-assets.com/assets/nophoto/user/m_200x266-d279b33f8eec0f27b7272477f09806be.png
","
https://s.gr-assets.com/assets/nophoto/user/m_50x66-82093808bca726cb3249a493fbd3bd0f.png
",https://www.goodreads.com/author/show/1169883.Fernando_M_Reimers,3.93,96,14,
979523,Clive Thompson,,"
https://s.gr-assets.com/assets/nophoto/user/m_200x266-d279b33f8eec0f27b7272477f09806be.png
","
https://s.gr-assets.com/assets/nophoto/user/m_50x66-82093808bca726cb3249a493fbd3bd0f.png
",https://www.goodreads.com/author/show/979523.Clive_Thompson,3.98,4023,579,"Clive Thompson is a Canadian freelance journalist, blogger and science and technology writer.<br /><br />Thompson graduated from the University of Toronto with majors in political science and English. He previously worked for Canada's Report on Business magazine and Shift magazine, then became a freelance contributor for The New York Times Magazine, The Washington Post, Lingua Franca, Wired, Shift, Entertainment Weekly and several other publications.<br /><br />Thompson writes about digital t..."
5829056,Amy Harmon,,"
https://images.gr-assets.com/authors/1341709289p5/5829056.jpg
","
https://images.gr-assets.com/authors/1341709289p2/5829056.jpg
",https://www.goodreads.com/author/show/5829056.Amy_Harmon,4.30,348229,40707,"Amy Harmon is a Wall Street Journal, USA Today, and New York Times Bestselling author. Amy knew at an early age that writing was something she wanted to do, and she divided her time between writing songs and stories as she grew. Having grown up in the middle of wheat fields without a television, with only her books and her siblings to entertain her, she developed a strong sense of what made a good story. Her books are now being published in eighteen languages, truly a dream come true for a li..."
177321,Robert Michael Pyle,,"
https://s.gr-assets.com/assets/nophoto/user/m_200x266-d279b33f8eec0f27b7272477f09806be.png
","
https://s.gr-assets.com/assets/nophoto/user/m_50x66-82093808bca726cb3249a493fbd3bd0f.png
",https://www.goodreads.com/author/show/177321.Robert_Michael_Pyle,4.00,1197,211,"Robert Michael Pyle is a lepidopterist and a professional writer who has published twelve books and hundreds of papers, essays, stories and poems. He has a Ph.D. from the School of Forestry and Environmental Studies at Yale University. He founded the Xerces Society for Invertebrate Conservation in 1974. His acclaimed 1987 book Wintergreen describing the devastation caused by unrestrained logging in Washington's Willapa Hills near his adopted home was the winner of the 1987 John Burroughs Meda..."
9831156,Elise Parsley,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/9831156.Elise_Parsley,3.81,4487,810,
924695,محمدجواد شیخ‌الاسلامی,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/924695._,3.00,16,7,
14789183,Michael-Scott Earle,,"
https://images.gr-assets.com/authors/1457989795p5/14789183.jpg
","
https://images.gr-assets.com/authors/1457989795p2/14789183.jpg
",https://www.goodreads.com/author/show/14789183.Michael_Scott_Earle,4.21,49148,2515,"NYT and USA Today bestseller of fiction. Top 100 Amazon best selling author.<br /><br />You can buy my novels on my website. <a target=""_blank"" rel=""noopener nofollow"" href=""http://www.michaelscottearle.com"">www.michaelscottearle.com</a><br /><br />I DON'T ANSWER QUESTIONS ON GOODREADS ANYMORE. IF YOU HAVE A QUESTION, JOIN MY FACEBOOK GROUP OR MAILING LIST.<br /><br /><a target=""_blank"" rel=""noopener nofollow"" href=""https://www.facebook.com/groups/1562248853809471/"">https://www.facebook.com/g..."
300536,Laurie Frankel,,"
https://images.gr-assets.com/authors/1473695919p5/300536.jpg
","
https://images.gr-assets.com/authors/1473695919p2/300536.jpg
",https://www.goodreads.com/author/show/300536.Laurie_Frankel,4.21,122013,12694,"Laurie Frankel is the New York Times Bestselling author of four novels, ONE TWO THREE, coming in April 2021, THIS IS HOW IT ALWAYS IS, GOODBYE FOR NOW, and THE ATLAS OF LOVE. She lives with her family on a very steep hill in Seattle, but she's an east coaster at heart. She is also a baseball fan, a soup maker, a theater lover, a yoga practicer, a comma expert, and a huge reader. Welcome!!"
8214,Andrew Gross,,"
https://images.gr-assets.com/authors/1265682974p5/8214.jpg
","
https://images.gr-assets.com/authors/1265682974p2/8214.jpg
",https://www.goodreads.com/author/show/8214.Andrew_Gross,3.98,324679,16105,"hubby, cook, dad, thriller writer (The Blue Zone, The Dark Tide, Don't Look Twice, and coming soon... Reckless). Love to hear from and meet my fans! Hope you enjoy the newest release RECKLESS, coming April 27, 2010.<br /><br />Looking forward to sharing my bookshelf with you all, and hoping to get some new reading suggestions! <br /><br /><a href=""http://www.facebook.com/pages/Andrew-Gross/36316262379?ref=ts"" rel=""nofollow noopener"">Become a Facebook Fan</a><br /><br /><a href=""http://www.twi..."
5315363,Karen Le Billon,,"
https://s.gr-assets.com/assets/nophoto/user/f_200x266-3061b784cc8e7f021c6430c9aba94587.png
","
https://s.gr-assets.com/assets/nophoto/user/f_50x66-6a03a5c12233c941481992b82eea8d23.png
",https://www.goodreads.com/author/show/5315363.Karen_Le_Billon,3.92,7743,1059,
1906497,Lauren Graham,,"
https://images.gr-assets.com/authors/1452392017p5/1906497.jpg
","
https://images.gr-assets.com/authors/1452392017p2/1906497.jpg
",https://www.goodreads.com/author/show/1906497.Lauren_Graham,3.80,154544,17934,"Lauren Graham is an actor, writer, and producer best known for her roles on the critically acclaimed series Gilmore Girls and Parenthood. <br /><br />She is also the New York Times bestselling author of Someday, Someday, Maybe, and Talking as Fast as I Can. <br /><br />Graham has performed on Broadway and appeared in such films as Bad Santa, Because I Said So, and Max. She holds a BA in English from Barnard College and an MFA in acting from Southern Methodist University. <br /><br />She lives..."
17985438,Tommy Tomlinson,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/17985438.Tommy_Tomlinson,4.18,2681,528,
5201530,Charles Duhigg,,"
https://images.gr-assets.com/authors/1349273209p5/5201530.jpg
","
https://images.gr-assets.com/authors/1349273209p2/5201530.jpg
",https://www.goodreads.com/author/show/5201530.Charles_Duhigg,4.09,378019,19500,
15127507,Karen M. McManus,,"
https://images.gr-assets.com/authors/1527617930p5/15127507.jpg
","
https://images.gr-assets.com/authors/1527617930p2/15127507.jpg
",https://www.goodreads.com/author/show/15127507.Karen_M_McManus,4.03,327213,41412,"Hi, and thanks for stopping by my Goodreads page! I don't visit this site often, so the best way to reach me is via my website at <a target=""_blank"" rel=""noopener nofollow"" href=""http://www.karenmcmanus.com"">www.karenmcmanus.com</a>, or on Twitter, where I'm @writerkmc. <br /><br />------<br /><br />Karen M. McManus is the #1 New York Times, USA Today, and international bestselling author of One of Us Is Lying, Two Can Keep a Secret, and One of Us Is Next. Her fourth novel, The Cousins, will ..."
5117,Art Spiegelman,,"
https://images.gr-assets.com/authors/1206557373p5/5117.jpg
","
https://images.gr-assets.com/authors/1206557373p2/5117.jpg
",https://www.goodreads.com/author/show/5117.Art_Spiegelman,4.34,599651,22103,"<b>Art Spiegelman</b> (born <b>Itzhak Avraham ben Zeev</b>) is New-York-based comics artist, editor, and advocate for the medium of comics, best known for his Pulitzer Prize-winning comic memoir, <a href=""https://www.goodreads.com/book/show/15195.Maus"" rel=""nofollow noopener"">Maus</a>."
776,Michael   Lewis,,"
https://images.gr-assets.com/authors/1317447168p5/776.jpg
","
https://images.gr-assets.com/authors/1317447168p2/776.jpg
",https://www.goodreads.com/author/show/776.Michael_Lewis,4.14,623482,34318,"<strong>Michael Lewis</strong>, the best-selling author of <em>Liar’s Poker</em>, <em>The Money Culture</em>, <em>The New New Thing</em>, <em>Moneyball</em>, <em>The Blind Side</em>, <em>Panic</em>, <em>Home Game</em>, <em>The Big Short</em>, and <em>Boomerang</em>, among other works, lives in Berkeley, California, with his wife and three children."
8153276,Renna Peak,,"
https://images.gr-assets.com/authors/1467571296p5/8153276.jpg
","
https://images.gr-assets.com/authors/1467571296p2/8153276.jpg
",https://www.goodreads.com/author/show/8153276.Renna_Peak,4.04,11856,1041,
7054618,Ember Casey,,"
https://images.gr-assets.com/authors/1378879719p5/7054618.jpg
","
https://images.gr-assets.com/authors/1378879719p2/7054618.jpg
",https://www.goodreads.com/author/show/7054618.Ember_Casey,3.95,19178,1938,"<a href=""http://embercasey.com/newsletter"" rel=""nofollow noopener"">Join my VIP list</a> for new release announcements and bonus goodies! ♥<br /><br />Ember Casey is a USA Today bestselling writer who lives in Atlanta, Georgia in a den of iniquity (or so she likes to tell people). She write books about wicked billionaires, Hollywood bad boys, playboy princes, and sexy treasure hunters.<br /><br />When she's not writing steamy romances, you can find her whipping up baked goods (usually of the c..."
15511060,Joshua Mattson,,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/15511060.Joshua_Mattson,3.14,108,24,
7789423,Alice Oseman,,"
https://images.gr-assets.com/authors/1603122242p5/7789423.jpg
","
https://images.gr-assets.com/authors/1603122242p2/7789423.jpg
",https://www.goodreads.com/author/show/7789423.Alice_Oseman,4.40,201079,39284,"Alice Oseman is an author/illustrator and was born in 1994 in Kent, England. She has written four YA contemporary novels about teenage disasters: SOLITAIRE, RADIO SILENCE, I WAS BORN FOR THIS, and LOVELESS. She is also the creator of LGBTQ+ YA romance webcomic HEARTSTOPPER, which is now published in physical form by Hachette Children's Books.<br /><br />Alice’s first novel SOLITAIRE was published when she was nineteen. Her YA novels have been nominated for the YA Book Prize, the Inky Awards, ..."
7409390,Lluís Delgado,Translator,"
https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png
","
https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png
",https://www.goodreads.com/author/show/7409390.Llu_s_Delgado,4.52,47928,8975,
