id,title,isbn,isbn13,asin,kindle_asin,country_code,image_url,small_image_url,large_image_url,publication_year,publication_month,publication_day,publisher,language_code,is_ebook,description,average_rating,num_pages,format,edition_information,text_reviews_count,url,link
512679,The Basic Eight,0312253737,9780312253738, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175409530l/512679._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175409530l/512679._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175409530l/512679.jpg,2000,3,,Thomas Dunne Books,eng,false,"Meet Flannery Culp, a world-weary high-school senior. She is primed to take on the few remaining obstacles that stand between her and the rest of her life: the SAT, college applications, the fall semester....Mercifully, there are a few distractions: 1) her friends, the Basic Eight; 2) Adam State, the object of her affections. If only things hadn't gotten out of control. If only Flan had stayed away from the absinthe. Then she wouldn't be a topic on daytime talk shows, or incarcerated, or have time to edit her journals....",3.79,329,Paperback,Reprint ,37,https://www.goodreads.com/book/show/512679.The_Basic_Eight,https://www.goodreads.com/book/show/512679.The_Basic_Eight
512818,Taash and the Jesters,080502381X,9780805023817, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568600029l/512818._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568600029l/512818._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568600029l/512818._SY475_.jpg,1992,11,1,Henry Holt and Company,eng,false,"The Orphan Taash couldn't have imagined the perilous adventures awaiting him. At the end of the forbidden path, he finds himself on a desolate moor and sees witches casting a spell on an infant boy. Taash impulsively snatches the child away from these chanting demons—and is thrown into a terrifying stuggle against evil forces plotting to overthrow the king.",4.52,245,Hardcover, ,12,https://www.goodreads.com/book/show/512818.Taash_and_the_Jesters,https://www.goodreads.com/book/show/512818.Taash_and_the_Jesters
512878,ماه نیمروز, , , , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1222084265l/512878._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1222084265l/512878._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1222084265l/512878.jpg,1997,,,نشر مرکز,,false,,3.64, ,Paper back, ,3,https://www.goodreads.com/book/show/512878._,https://www.goodreads.com/book/show/512878._
512902,Money for Nothing: One Man's Journey Through the Dark Side of Lottery Millions,0061284173,9780061284175, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175412603l/512902._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175412603l/512902._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175412603l/512902._SY475_.jpg,2007,9,18,Harper Business,eng,false,"In his wry and funny memoir, Edward Ugel tells the story of America's addiction to the lottery from an astonishing angle.<br /><br />At age twenty-six, Ed found himself broke, knee-deep in gambling debt, and moving back into his parents' basement. It all changed, however, when he serendipitously landed a job as a salesman for The Firm—a company that offered up-front cash to lottery winners in exchange for their prize money, often paid in agonizingly small annual payments, some lasting up to twenty-five years. For the better part of the ensuing decade, Ed spent his time closing deals with lottery winners, making a lucrative and legitimate—if sometimes not-so-nice—living by taking advantage of their weaknesses . . . weaknesses he knew all too well.<br /><br />Ed met hundreds of lottery winners and saw up-close the often hilarious, sometime sad outcome when great wealth is dropped on ordinary people. Once lottery winners realized their ""dream-come-true"" multimillion jackpots were not all that they were cracked up to be, Ed would knock on their door, offering them the cash they wanted-and often desperately need. This cash sometimes came at a high price, but winners were rarely in a position to walk the other way. As Ed learned, few of them had the financial savvy to keep up with the lottery-winner lifestyle. In fact, some just wanted their old lives back.<br /><br />A charmingly neurotic gambler, Ed traveled deep into the heart of the country where he discovered the American Dream looks a lot like a day at the casino. And Ed knows casinos. In fact, his own taste for gambling gave him a unique insight into lottery winners: he intimately understood their mindset, making it that much easier to relate to them. And like lottery winners, Ed struggled to find balance in his own life as his increasing success earned him a bigger and bigger salary. Even as he relished his accomplishments, he grappled with the question: ""If you are good at something that is bad for some people, does that make you a bad person?""<br /><br />Ed Ugel takes the readers inside the captivating world of lottery winners and shows us how lotteries and gambling have become deeply inscribed in every aspect of American life shaping our image of success and good fortune. <em>Money for Nothing</em> is a witty, wise, and often outrageously funny account of high expectations and easy money.",3.17,238,Hardcover, ,77,https://www.goodreads.com/book/show/512902.Money_for_Nothing,https://www.goodreads.com/book/show/512902.Money_for_Nothing
512906,گنگ خواب دیده / جلد اول, , , , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1195199315l/512906.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1195199315l/512906.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1195199315l/512906.jpg,1995,,,نشر نی,per,false,Mohsen Makhmalbaf<br />عنوان: گنگ خوابدیده - جلد 1 از 3؛ نویسنده: محسن مخملباف؛ تهران، نشر نی، 1372؛ در سه جلد، جلد 1 در 440 ص؛ مضور، جدول، نمودار؛ موضوع: مجموعه مقاله های محسن مخملباف - سینما - ایران - قرن 20 م,3.14,440,Hard Cover, ,7,https://www.goodreads.com/book/show/512906._,https://www.goodreads.com/book/show/512906._
513176,"Rogue Squadron (Star Wars: X-Wing, #1)",0553568019,9780553568011, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327860341l/513176._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327860341l/513176._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327860341l/513176.jpg,1996,2,,Del Rey Books,eng,false,"They are sleek, swift, and deadly. They are the X-wing fighters. And as the struggle rages across the vastness of space, the fearless men and women who pilot them risk both their lives and their machines. Their mission: to defend the Rebel Alliance against a still-powerful and battle-hardened Imperial foe in a last-ditch effort to control the stars!<br /><br />Its very name strikes fear into enemy hearts. So when Rebel hero Wedge Antilles rebuilds the legendary Rogue Squadron, he seeks out only the best -- the most skilled, the most daring X-wing pilots. Through arduous training and dangerous missions, he weeds out the weak from the strong, assembling a group of hard-bitten warriors willing to fight, ready to die. Antilles knows the grim truth: that even with the best X-wing jockeys in the galaxy, many will not survive their near-suicidal missions. But when Rogue Squadron is ordered to assist in the assault on the heavily fortified Imperial stronghold of Black Moon, even the bravest must wonder if any at all will survive. . . . ",4.04,386,Paperback, ,376,https://www.goodreads.com/book/show/513176.Rogue_Squadron,https://www.goodreads.com/book/show/513176.Rogue_Squadron
513198,"Wedge's Gamble (Star Wars: X-Wing, #2)",0553568027,9780553568028, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941416l/513198._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941416l/513198._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941416l/513198.jpg,1996,5,2,Del Rey,eng,false,"Sleek, swift, and deadly, they are the X-wing fighters. And as the battle against the Empire rages across the vastness of space, the pilots risk both their lives and their machines for the cause of the Rebel Alliance. Now they must embark on a dangerous espionage mission, braving betrayal and death on the Imperial homeworld to smash the power of a ruthless foe!<br /><br />It is the evil heart of a battered and reeling Empire: Coruscant, the giant city-world from whose massive towers the Imperial High Command directs the war. The Rebels will invade this mighty citadel in a daring move to bring the Empire to its knees. But first Wedge Antilles and his X-wing pilots must infiltrate<br />Coruscant to gain vital intelligence information. Capture means death, or worse--enslavement by the vicious leader known as ""Iceheart,"" Ysanne Isard, now<br />Emperor in all but name. And one of Rogue Squadron's own is already her slave, a traitor hidden behind a mask of innocence, working to betray both colleagues and the Rebellion itself.",3.98,357,Mass Market Paperback, ,177,https://www.goodreads.com/book/show/513198.Wedge_s_Gamble,https://www.goodreads.com/book/show/513198.Wedge_s_Gamble
513200,"The Krytos Trap (Star Wars: X-Wing, #3)",0553568035,9780553568035, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941522l/513200._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941522l/513200._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941522l/513200.jpg,1996,10,,Random House Inc,eng,false,"<p>The Rebels have taken the Imperial headquarters world of Coruscant, but their problems are far from over. A killer virus called Krytos is spreading among the population, and fomenting a counter-revolution, at the same time as the treason trial of Rebel hero Tycho Celchu. And X-wing pilot Corran Horn, given up for dead in ""Iceheart""'s inescapable prison, discovers an extraordinary power in himselfthe power of the Force!</p>",3.96,368,Mass Market Paperback, ,132,https://www.goodreads.com/book/show/513200.The_Krytos_Trap,https://www.goodreads.com/book/show/513200.The_Krytos_Trap
513201,"The Bacta War (Star Wars: X-Wing, #4)",0553568043,9780553568042, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941683l/513201._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941683l/513201._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941683l/513201.jpg,1997,2,,Del Rey,eng,false,"When the Alliance Fleet mounts a major campaign against a deadly warlord, tyrant Ysanne Isard has taken control of Thyferra, intending to use its supply of medicinal bacta to destabilize and destroy the New Republic. Undermanned, deprived of Alliance support, Rogue Squadron must oppose Isard's plans, defeat her Star Destroyer fleet, and free Thyferra from her rule in a winner-take-all battle against a seemingly superior force.",4.02,368,Mass Market Paperback, ,121,https://www.goodreads.com/book/show/513201.The_Bacta_War,https://www.goodreads.com/book/show/513201.The_Bacta_War
513275,Jakob von Gunten,0940322218,9780940322219, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605661978l/513275._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605661978l/513275._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605661978l/513275._SY475_.jpg,1999,,,New York Review Books Classics,eng,false,"The Swiss writer Robert Walser is one of the quiet geniuses of twentieth-century literature. Largely self-taught and altogether indifferent to worldly success, Walser wrote a range of short stories, essays and four novels, of which Jakob von Gunten is widely recognized as the finest. It tells the story of a seventeen-year-old runaway from an old family who enrolls in a school for servants. The Institute, run by the domineering Herr Benjamenta and his beautiful but ailing sister, is a deeply mysterious place: the faculty lies asleep in a single room. The students though subject to fierce discipline, come and go at will. Jakob, an irrepressibly subversive presence, keeps a journal in which he records his quirky impressions of the school as well as his own quickly changing enthusiasms and uncertainties, deliberations and dreams. And in the end, as the Institute itself dissolves around him like a dream, he steps out boldly to explore still-unimagined worlds.",3.96,176,Paperback, ,272,https://www.goodreads.com/book/show/513275.Jakob_von_Gunten,https://www.goodreads.com/book/show/513275.Jakob_von_Gunten
