id,title,isbn,isbn13,asin,kindle_asin,country_code,image_url,small_image_url,large_image_url,publication_year,publication_month,publication_day,publisher,language_code,is_ebook,description,average_rating,num_pages,format,edition_information,text_reviews_count,url,link
91600,Cold Sassy Tree,0440212723,9780440212720, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342294926l/91600._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342294926l/91600._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342294926l/91600.jpg,1992,1,4,Dell,,false,"If the preacher's wife's petticoat showed, the ladies would make the talk last a week. But on July 5, 1906, things took a scandalous turn. That was the day E. Rucker Blakeslee, proprietor of the general store and barely three weeks a widower, eloped with Miss Love Simpson -- a woman half his age and, worse yet, a Yankee! On that day, fourteen-year-old Will Tweedy's adventures began and an unimpeachably pious, deliciously irreverent town came to life. Not since <i>To Kill A Mockingbird</i> has a novel so deftly captured the subtle crosscurrents of small-town Southern life. Olive Ann Burns classic bestseller brings to vivid life an era that will never exist again, exploring timeless issues of love, death, coming of age, and the ties that bind families and generations.<br /><br /><br /><i>From the Trade Paperback edition.</i>",4.01,471,Mass Market Paperback, ,10,https://www.goodreads.com/book/show/91600.Cold_Sassy_Tree,https://www.goodreads.com/book/show/91600.Cold_Sassy_Tree
91607,A Midsummer Night's Dream (Tales from Shakespeare Series),1858542715,9781858542713, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171231468l/91607._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171231468l/91607._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171231468l/91607._SX318_.jpg,1996,6,1,Brimax Books,eng,false,This specially adapted and beautifully illus trated edition of A Midsummer Night''s Dream is an ideal intr oduction to the play for younger readers. ',3.95,18,Hardcover, ,9,https://www.goodreads.com/book/show/91607.A_Midsummer_Night_s_Dream,https://www.goodreads.com/book/show/91607.A_Midsummer_Night_s_Dream
91609,The Tempest,1858542707,9781858542706, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171231469l/91609._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171231469l/91609._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171231469l/91609._SX318_.jpg,1996,6,1,Brimax Books,eng,false,This specially adapted and beautifully illus trated edition of The Tempest is an ideal introduction to th e play for younger readers. ',3.72,18,Hardcover, ,2,https://www.goodreads.com/book/show/91609.The_Tempest,https://www.goodreads.com/book/show/91609.The_Tempest
91659,"Gabriela, clavo y canela", , , , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335557443l/91659._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335557443l/91659._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335557443l/91659.jpg,,,,Editorial Diana,spa,false,"Gabriela, clavo y canela es una bella metáfora del cambio y el progreso. La historia de Ilhéus, pequeño pueblo de Brasil donde se desarrolla la novela, sirve de marco al autor para relatar varias historias, entre ellas, la más importante, el amor entre Gabriela y Nacib.<br /><br />El lector recorre junto con los protagonistas el trayecto que conduce al motivo argumental de la novela: la llegada de la modernidad a Ilhéus, reflejándose en las instituciones, las costumbres y aun en la conciencia de los personajes.<br /><br />Amado lleva al lector a hacer un recorrido deslumbrante en el que la gastronomía, la sensualidad y los placeres ocupan un primer plano y se encargan de poner de manifiesto su capacidad narrativa para captar la vida y el movimiento que dan sustancia a esta obra.",4.12,325,Paperback, ,188,https://www.goodreads.com/book/show/91659.Gabriela_clavo_y_canela,https://www.goodreads.com/book/show/91659.Gabriela_clavo_y_canela
91661,"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",0553381520,9780553381528, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590945421l/91661._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590945421l/91661._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590945421l/91661._SY475_.jpg,2002,3,26,Bantam,eng,false,"Long retired, Sherlock Holmes quietly pursues his study of honeybee behavior on the Sussex Downs. He never imagines he would encounter anyone whose intellect matched his own, much less an audacious teenage girl with a penchant for detection. Miss Mary Russell becomes Holmes's pupil and quickly hones her talent for deduction, disguises and danger. But when an elusive villain enters the picture, their partnership is put to a real test.",4.06,341,Paperback, ,4352,https://www.goodreads.com/book/show/91661.The_Beekeeper_s_Apprentice,https://www.goodreads.com/book/show/91661.The_Beekeeper_s_Apprentice
91682,Revolutionary Suicide,0863163262,9780863163265, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171232640l/91682._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171232640l/91682._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171232640l/91682.jpg,1995,4,1,Writers & Readers Publishing,eng,false,"<p>
  <b>The searing, visionary memoir of founding Black Panther Huey P. Newton, in a dazzling graphic package</b>
</p><p>Eloquently tracing the birth of a revolutionary, Huey P. Newton's famous and oft-quoted autobiography is as much a manifesto as a portrait of the inner circle of America's Black Panther Party. From Newton's impoverished childhood on the streets of Oakland to his adolescence and struggles with the system, from his role in the Black Panthers to his solitary confinement in the Alameda County Jail, <i>Revolutionary Suicide</i> is smart, unrepentant, and thought-provoking in its portrayal of inspired radicalism.</p>",4.41,333,Paperback, ,117,https://www.goodreads.com/book/show/91682.Revolutionary_Suicide,https://www.goodreads.com/book/show/91682.Revolutionary_Suicide
91688,Babel Tower,0517277743,9780517277744, , ,ID,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1996,4,23,Random House Value Publishing,eng,false,"<b>Babel Tower</b> follows <i>The Virgin in the Garden</i> and <i>Still Life</i> in tracing Frederica Potter, a lover of books who reflects the author's life and times. It centers around two lawsuits: in one, Frederica -- a young intellectual who has married outside her social set -- is challenging her wealthy and violent husband for custody of their child; in the other, an unkempt but charismatic rebel is charged with having written an obscene book, a novel-within-a-novel about a small band of revolutionaries who attempt to set up an ideal community. And in the background, rebellion gains a major toehold in the London of the Sixties, and society will never be the same.",3.82,619,Hardcover, ,118,https://www.goodreads.com/book/show/91688.Babel_Tower,https://www.goodreads.com/book/show/91688.Babel_Tower
91697,Sophie's Choice,0099483521,9780099483526, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324102674l/91697._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324102674l/91697._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324102674l/91697.jpg,2005,5,5,Vintage Books,eng,false,Three stories are told: a young Southerner wants to become a writer; a turbulent love-hate affair between a brilliant Jew and a beautiful Polish woman; and of an awful wound in that woman's past--one that impels both Sophie and Nathan toward destruction.,4.18,640,Paperback, ,18,https://www.goodreads.com/book/show/91697.Sophie_s_Choice,https://www.goodreads.com/book/show/91697.Sophie_s_Choice
91700,Blue Shoe,1573223425,9781573223423, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309202388l/91700._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309202388l/91700._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309202388l/91700.jpg,2003,9,2,Riverhead Books,en-GB,false,"The <b>New York Times</b> Bestseller from the beloved author of <b>Bird by Bird</b> and <b>Traveling Mercies</b>.<br /><br />Mattie Ryder is marvelously neurotic, well-intentioned, funny, religious, sarcastic, tender, angry, and broke. Her life at the moment is a wreck: her marriage has failed, her mother is failing, her house is rotting, her waist is expanding, her children are misbehaving, and she has a crush on a married man. Then she finds a small rubber blue shoe—nothing more than a gumball trinket—left behind by her father. For Mattie, it becomes a talisman—a chance to recognize the past for what it was, to see the future as she always hoped it could be, and to finally understand her family, herself, and the ever-unfolding mystery of her sweet, sad, and sometimes surprising life.",3.26,336,Paperback, ,696,https://www.goodreads.com/book/show/91700.Blue_Shoe,https://www.goodreads.com/book/show/91700.Blue_Shoe
91712,Comic Wars: Marvel's Battle For Survival,0785116060,9780785116066, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171234339l/91712._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171234339l/91712._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171234339l/91712._SY475_.jpg,2004,8,4,Marvel Comics Group,eng,false,"Presents the story of the business superheroes who rescued Marvel Comics from bankruptcy. Combining journalism with storytelling, this work takes readers behind the scenes of America's most bitter bankruptcy and captures the high-stakes, often hilarious twists and turns of this financial fiasco.",3.51,334,Paperback, ,6,https://www.goodreads.com/book/show/91712.Comic_Wars,https://www.goodreads.com/book/show/91712.Comic_Wars
