id,title,isbn,isbn13,asin,kindle_asin,country_code,image_url,small_image_url,large_image_url,publication_year,publication_month,publication_day,publisher,language_code,is_ebook,description,average_rating,num_pages,format,edition_information,text_reviews_count,url,link
370825,در فاصله‌ی دو نقطه, , , , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174250471l/370825.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174250471l/370825.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174250471l/370825.jpg,1996,,,تهران، نشر نی، چاپ دوم 1375,per,false,Iran Darroudi<br />عنوان: در فاصله ی دو نقطه؛ نویسنده: ایران درودی؛ تهران، نشر نی، چاپ دوم 1375؛ در 261 ص,3.87,261, ,چاپ دوم,9,https://www.goodreads.com/book/show/370825._,https://www.goodreads.com/book/show/370825._
370826,جامعه‌شناسی سیاسی: نقش نیروهای اجتماعی در زندگی سیاسی,9643121836, , , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401731434l/370826._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401731434l/370826._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401731434l/370826.jpg,,,,نشر نی,per,false,سیاست و زندگی سیاسی چیست؟ گرایش ایدئولوژیک رژیم‌های سیاسی چه تأثیری بر تقسیم قدرت میان نیروهای اجتماعی دارد؟ اصولاً دولت چیست؟ منشأ آن کدام است؟ نقش دولت‌ها در حیات اجتماعی و زندگی سیاسی چیست؟ گروه‌ها و نیروهای اجتماعی چه رابطه‌ای با دولت دارند؟ جامعه‌شناسی سیاسی سعی دارد به این سؤالات و سؤال‌های مشابه آن که ممکن است ذهن هر دانشجوی رشته‌های علوم سیاسی و جامعه‌شناسی و حتی افراد علاقه‌مند به امور سیاسی را به خود مشغول داشته پاسخ گوید. مؤلف در این کتاب وظیفهٔ اصلی جامعه‌شناسی سیاسی را به بررسی روابط میان قدرت دولتی و گروه‌ها و نیروهای اجتماعی محدود کرده است تا «دیسیپلین» جامعه‌شناسی سیاسی به‌معنی دقیق آن از دیگر شاخه‌های علوم سیاسی متمایز گردد. وی جوانب مختلف مسائل جامعه‌شناسی سیاسی را هم در عرصهٔ نظریه به محک تجربه زده است و هم در عرصهٔ عمل. مؤلف همچنین با دیدگاهی تاریخ‌نگر نظریه‌ها و عملکرد نیروهای مختلف اجتماعی را بررسی کرده است و جای‌جای با ذکر شواهد و مستندات تاریخی آن‌ها را آزموده است.,3.87,352,Paperback, ,18,https://www.goodreads.com/book/show/370826._,https://www.goodreads.com/book/show/370826._
370964,Hay Fever,0573011745,9780573011740, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346952127l/370964._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346952127l/370964._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346952127l/370964.jpg,2003,6,6,Samuel French,eng,false,"Hoping for a quiet weekend in the country with some guests, David Bliss, a novelist and his wife Judith, a retired actress, find that an impossible dream when their high-spirited children Simon and Sorel appear with guests of their own. A housefull of drama waits to be ignited as misunderstandings and tempers flare. With Judith's new flame and David's newest literary 'inspiration' keeping company as the children follow suit, the Bliss family lives up to its name as the 'quiet weekend' comes to an exhausting and hilarious finale worthy of Feydeau.",3.64,66,Paperback, ,45,https://www.goodreads.com/book/show/370964.Hay_Fever,https://www.goodreads.com/book/show/370964.Hay_Fever
371030,"You Don't Have to Be Evil to Work Here, But it Helps (J. W. Wells & Co., #4)",1841492841,9781841492841, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328849515l/371030._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328849515l/371030._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328849515l/371030.jpg,2006,11,2,Orbit UK,eng,false,"Colin Hollinghead is a young man going nowhere fast. Working for his dad might have seemed like a good idea at the time, but starting at the bottom in the widget-making industry has, predictably, lost its appeal. And now the business is in trouble. At least his father has a plan to turn things around—a new work force that will improve profit margins and secure the company's future for all eternity. The deal looks great on paper, but they do say that the devil is in the detail—and the arch fiend definitely seems to be involved in some capacity. Colin needs help. Perhaps his new friend from J.W. Wells &amp; Co. (Practical and Effective Magicians, Sorcerers and Supernatural Consultants) can help…Sparkling with wit and oozing charm, Tom Holt's new comic caper proves once and for all that going to work actually can be hell.",3.85,352,Paperback, ,89,https://www.goodreads.com/book/show/371030.You_Don_t_Have_to_Be_Evil_to_Work_Here_But_it_Helps,https://www.goodreads.com/book/show/371030.You_Don_t_Have_to_Be_Evil_to_Work_Here_But_it_Helps
371258,War and Peace,0451523261,9780451523266, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446864894l/371258._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446864894l/371258._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446864894l/371258._SY475_.jpg,1980,,,Signet Classics,eng,false,"<i>War and Peace,</i> probably the greatest novel ever written, stands alone in its vast scope and minute detail, its immense diversity and final unity. Set in the years leading up to and culminating in Napoleon's disastrous Russian invasion, the novel focuses upon an entire society torn by conflict and change. Here is humanity in all its innocence and corruption, wisdom and folly, painful defeats and enduring triumphs. Here is the seemingly effortless artistry of a master capable of portraying with equal power the clash of armies and the solitary anguish of the heart. Here, finally, is a view of history and personal destiny that is perpetually modern.",4.12,1456,Mass Market Paperback,Complete and Unabridged,119,https://www.goodreads.com/book/show/371258.War_and_Peace,https://www.goodreads.com/book/show/371258.War_and_Peace
371456,Nana,3746611091,9783746611099, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174236758l/371456.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174236758l/371456._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174236758l/371456.jpg,2002,,,Berlin Aufbau-Taschenbuch-Verl,ger,false,"Wenn die üppige blonde Nana auf der Bühne des Pariser Varietétheaters steht, spürt jeder: sie hat keinen Funken Talent. Doch das macht nichts, denn sie hat etwas anderes ... Nana, das Kind aus der Gosse, Tochter einer Wäscherin, ausgestattet mit großen sinnlichen Reizen, steigt auf zur begehrtesten Kurtisane der Pariser Gesellschaft. Sie wird zum Idol, dem sich die Männer zu Füßen werfen. Bankiers bringen ihr ein ganzes Vermögen zum Opfer, Aristokraten ihre Würde, Jünglinge nehmen sich ihretwegen das Leben. Nana in ihrer grenzenlosen Gier und Verschwendungssucht schreitet ungerührt über sie hinweg, schön wie eine Sumpfblüte, Sinnbild einer untergehenden Ära.",3.83,473,Paperback, ,341,https://www.goodreads.com/book/show/371456.Nana,https://www.goodreads.com/book/show/371456.Nana
371557,One Place After Another: Site-Specific Art and Locational Identity,026261202X,9780262612029, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347659809l/371557._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347659809l/371557._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347659809l/371557.jpg,2004,2,27,MIT Press,en-IN,false,"<b>A critical history of site-specific art since the late 1960s.</b>Site-specific art emerged in the late 1960s in reaction to the growing commodification of art and the prevailing ideals of art's autonomy and universality. Throughout the 1970s and 1980s, as site-specific art intersected with land art, process art, performance art, conceptual art, installation art, institutional critique, community-based art, and public art, its creators insisted on the inseparability of the work and its context. In recent years, however, the presumption of unrepeatability and immobility encapsulated in Richard Serra's famous dictum ""to remove the work is to destroy the work"" is being challenged by new models of site specificity and changes in institutional and market forces. <i>One Place after Another</i> offers a critical history of site-specific art since the late 1960s and a theoretical framework for examining the rhetoric of aesthetic vanguardism and political progressivism associated with its many permutations. Informed by urban theory, postmodernist criticism in art and architecture, and debates concerning identity politics and the public sphere, the book addresses the siting of art as more than an artistic problem. It examines site specificity as a complex cipher of the unstable relationship between location and identity in the era of late capitalism. The book addresses the work of, among others, John Ahearn, Mark Dion, Andrea Fraser, Donald Judd, Renee Green, Suzanne Lacy, Inigo Manglano-Ovalle, Richard Serra, Mierle Laderman Ukeles, and Fred Wilson.",4.11,218,Paperback, ,13,https://www.goodreads.com/book/show/371557.One_Place_After_Another,https://www.goodreads.com/book/show/371557.One_Place_After_Another
371829,Unattended Sorrow: Recovering from Loss and Reviving the Heart,1594863814,9781594863813, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438223161l/371829._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438223161l/371829._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438223161l/371829._SY475_.jpg,2006,2,7,Rodale Books,en-US,false,"Unattended sorrow is unresolved grief that has never been given a chance to heal. This lovely, spiritual book from one of the nation's most trusted grief counselors offers a series of techniques to help heal this pain so readers can lead full and joyful lives. The book not only guides those who have experienced a fresh loss to face the hurt before it settles in, but it also addresses the devastating impact of tragedies past, when people become ""stuck"" years after childhood abuse, teen rape, early divorce, or loss of a loved one.",4.06,225,Paperback, ,28,https://www.goodreads.com/book/show/371829.Unattended_Sorrow,https://www.goodreads.com/book/show/371829.Unattended_Sorrow
371962,Lost In Hollywood: The Fast Times And Short Life Of River Phoenix,0312957823,9780312957827, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174241304l/371962._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174241304l/371962._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174241304l/371962.jpg,1996,4,28,St. Martin's Mass Market Paperbacks,eng,false,"<b>Was the burden of fame too much?</b><br /><br />He was called ""one of the most gifted actors of his generation."" His work in films like <i>The Mosquito Coast</i>, <i>Indiana Jones And The Last Crusade</i>, and <i>My Own Private Idaho</i> made him a favorite of critics and the public alike.<br /><br />But all that promise would soon come tragically to an end. In 1994 outside a Hollywood club called The Viper Room, River Phoenix lay dying from a drug overdose. His tragic death at the age of twenty-three shocked America, who had known him as a strict vegetarian, close to his family and committed to saving the environment.<br /><br />Learn the truth about how:<br /><br />- He lost his virginity at the age of four<br />- He financially supported his parents and four siblings in his mid-teens<br />- He felt burdened to save the world - and believed his fame was a platform to do it<br />- He shunned his image as a teenage heartthrob - and was shy around girls<br />- He secretly turned to drugs and alcohol to numb his pain<br /><br />Veteran journalist John Glatt delivers an intimate portrait of River Phoenix, whose noble ideals and raw talent could not protect him from the pressures of fame.",3.64,306,Paperback, ,6,https://www.goodreads.com/book/show/371962.Lost_In_Hollywood,https://www.goodreads.com/book/show/371962.Lost_In_Hollywood
372008,Sleepless in America: Is Your Child Misbehaving...or Missing Sleep?,006073602X,9780060736026, , ,ID,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438143039l/372008._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438143039l/372008._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438143039l/372008._SY475_.jpg,2007,1,2,Harper Perennial,en-US,false,"Does your child refuse to cooperate in the morning? Get into trouble for not listening? ""Lose it"" over seemingly insignificant issues? Seem to resist sleep?<br />An estimated 69 percent of American infants, children, and teens are sleep deprived. Studies have shown that sleep deficits can contribute to hyperactivity, distraction, forgetfulness, learning problems, illness, accidents, and disruptive behaviors. Often what our misbehaving kids really need isn't more ""consequences"" or more medication but more sleep.<br />Sleepless in America offers weary and frustrated parents a helping hand and an exciting new approach to managing challenging behaviors by integrating research on stress, sleep, and temperament with practical strategies and a five-step approach that enables parents to help their ""tired and wired"" children get the sleep they so desperately need.",4.16,352,Paperback, ,52,https://www.goodreads.com/book/show/372008.Sleepless_in_America,https://www.goodreads.com/book/show/372008.Sleepless_in_America
