book_id,book_title,author_id,author_name
31451186,"Borne (Borne, #1)",33919,Jeff VanderMeer
31498499,The Fog,428296,Kyo Maclear
31498499,The Fog,7182574,Kenard Pak
31501166,Ring of Lies,3354253,Roni Dunevich
31522007,"Hourglass: Time, Memory, Marriage",13932,Dani Shapiro
31522138,"Dangerous Minds (Knight and Moon, #2)",2384,Janet Evanovich
31522415,What It Means When a Man Falls from the Sky,14548993,Lesley Nneka Arimah
31522448,"Convergence (Foreigner, #18)",989968,C.J. Cherryh
31522515,Walking on My Grave,4278425,Carolyn G. Hart
31547846,Trinta e Poucos,4106176,Antonio Prata
31550413,The German Girl,3187865,Armando Lucas Correa
31550999,El Quincunce,130272,Charles Palliser
31562247,"The Fix (Amos Decker, #3)",9291,David Baldacci
31565197,تصرف عدوانی,1272304,Lena Andersson
31565197,تصرف عدوانی,5231714,سعید مقدم
31570938,"Yo, Heliaca: La odisea de un águila imperial",3979564,Íñigo Javaloyes
31572054,"The Imposter's Handbook (Imposter's Handbook, #1)",1982092,Rob Conery
31574430,هری پاتر و فرزند نفرین‌شده,5042201,John Tiffany
31574430,هری پاتر و فرزند نفرین‌شده,3439408,Jack Thorne
31574430,هری پاتر و فرزند نفرین‌شده,1077326,J.K. Rowling
31574430,هری پاتر و فرزند نفرین‌شده,603871,ویدا اسلامیه
31574750,The End of Eddy,7757102,Édouard Louis
31574750,The End of Eddy,54021,Michael Lucey
31574965,Los hombres me explican cosas,15811,Rebecca Solnit
31574965,Los hombres me explican cosas,15650856,Paula Martín Ponz
31576964,"Sins of Empire (Gods of Blood and Powder, #1)",6524620,Brian  McClellan
31578016,Exit West,16902,Mohsin Hamid
31578250,October: The Story of the Russian Revolution,33918,China Miéville
31578285,"Extracted (Extracted Trilogy, #1)",6447537,R.R. Haywood
31579314,Richard Nixon: The Life,397339,John A. Farrell
31600842,The Baron in the Trees,155517,Italo Calvino
31600842,The Baron in the Trees,183680,Ann Goldstein
