book_id,book_title,author_id,author_name
91600,Cold Sassy Tree,52627,Olive Ann Burns
91607,A Midsummer Night's Dream (Tales from Shakespeare Series),947,William Shakespeare
91609,The Tempest,25541,John Escott
91609,The Tempest,947,William Shakespeare
91659,"Gabriela, clavo y canela",52683,Jorge Amado
91661,"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",6760,Laurie R. King
91682,Revolutionary Suicide,52705,Huey P. Newton
91682,Revolutionary Suicide,52704,J. Herman Blake
91688,Babel Tower,1169504,A.S. Byatt
91697,Sophie's Choice,7565,William Styron
91700,Blue Shoe,7113,Anne Lamott
91712,Comic Wars: Marvel's Battle For Survival,52725,Dan Raviv
91741,Dali's Mustache,52750,Philippe Halsman
91741,Dali's Mustache,165858,Salvador Dalí
91745,The Shameful Life of Salvador Dalí,12755,Ian Gibson
91746,Diary of a Genius,165858,Salvador Dalí
91746,Diary of a Genius,7010931,J.G. Ballard
91754,Dalí: Spanish-Language Edition,187210,Gilles Néret
91754,Dalí: Spanish-Language Edition,52736,Robert Descharnes
91760,The Diary of Frida Kahlo: An Intimate Self-Portrait,52760,Frida Kahlo
91760,The Diary of Frida Kahlo: An Intimate Self-Portrait,1367127,Carlos Fuentes
91760,The Diary of Frida Kahlo: An Intimate Self-Portrait,264271,Sarah M. Lowe
91765,Frida Kahlo: The Painter and Her Work,52762,Helga Prignitz-Poda
91765,Frida Kahlo: The Painter and Her Work,52760,Frida Kahlo
91781,"King, Warrior, Magician, Lover: Rediscovering the Archetypes of the Mature Masculine",71193,Robert L. Moore
91781,"King, Warrior, Magician, Lover: Rediscovering the Archetypes of the Mature Masculine",52770,Douglas Gillette
91790,"The Thief, the Cross and the Wheel: Pain and the Spectacle of Punishment in Medieval and Renaissance Europe",52782,Mitchell B. Merback
91806,Heads by Harry,32871,Lois-Ann Yamanaka
91807,Wild Meat and the Bully Burgers,32871,Lois-Ann Yamanaka
91810,Father of the Four Passages,32871,Lois-Ann Yamanaka
91817,Name Me Nobody,32871,Lois-Ann Yamanaka
91843,The Other Hollywood: The Uncensored Oral History of the Porn Film Industry,9097,Legs McNeil
91843,The Other Hollywood: The Uncensored Oral History of the Porn Film Industry,52809,Jennifer Osborne
91843,The Other Hollywood: The Uncensored Oral History of the Porn Film Industry,303571,Peter Pavia
