book_id,book_title,author_id,author_name
12510877,"Useless Landscape, or A Guide for Boys",2036352,D.A. Powell
12521033,The Best American Short Stories 2011,52,Heidi Pitlor
12521033,The Best American Short Stories 2011,211268,Geraldine Brooks
12521033,The Best American Short Stories 2011,4100381,Caitlin Horrocks
12521033,The Best American Short Stories 2011,130791,Bret Anthony Johnston
12521033,The Best American Short Stories 2011,274817,Claire Keegan
12521033,The Best American Short Stories 2011,2282,Sam Lipsyte
12521033,The Best American Short Stories 2011,3134707,Rebecca Makkai
12521033,The Best American Short Stories 2011,73450,Elizabeth McCracken
12521033,The Best American Short Stories 2011,12589,Steven Millhauser
12521033,The Best American Short Stories 2011,6895920,Ricardo Nuila
12521033,The Best American Short Stories 2011,3524,Joyce Carol Oates
12521033,The Best American Short Stories 2011,11783,Richard Powers
12521033,The Best American Short Stories 2011,331143,Jess Row
12521033,The Best American Short Stories 2011,8885,George Saunders
12521033,The Best American Short Stories 2011,259255,Mark Slouka
12521033,The Best American Short Stories 2011,11291,Chimamanda Ngozi Adichie
12521033,The Best American Short Stories 2011,4516347,Megan Mayhew Bergman
12521033,The Best American Short Stories 2011,54584,Tom Bissell
12521033,The Best American Short Stories 2011,49625,Jennifer Egan
12521033,The Best American Short Stories 2011,16797,Nathan Englander
12521033,The Best American Short Stories 2011,16264,Allegra Goodman
12521033,The Best American Short Stories 2011,205571,Ehud Havazelet
12530184,11/22/63,3389,Stephen King
12532195,The Essential Art of War,13617,Ralph D. Sawyer
12537036,"18 Minutes: Find Your Focus, Master Distraction, and Get the Right Things Done",1217024,Peter Bregman
12545375,"Articles on Novels by S. M. Stirling, Including: The Domination, the Peshawar Lancers, Marching Through Georgia (Novel), the Prince (Pournelle), Conquistador (Novel), the Protector's War, Island in the Sea of Time, Dies the Fire",5167894,Hephaestus Books
12555246,"Making Piece: a Memoir of Love, Loss and Pie",5185402,Beth M. Howard
12556851,"God Bless You, Mr. Rosewater",2778055,Kurt Vonnegut Jr.
12558865,The Leopard,904719,Jo Nesbø
12558865,The Leopard,2737734,Don Bartlett
12564197,"Screw It, Let's Do It: Lessons In Life",115943,Richard Branson
12564607,سونات شبح,6815,August Strindberg
12564607,سونات شبح,7710502,امین عظیمی
12564607,سونات شبح,7710503,نگار خان‌بیگی
12576334,Religion for Atheists: A Non-Believer's Guide to the Uses of Religion ,13199,Alain de Botton
12588363,"Fallen in Love (Fallen, #3.5)",2905297,Lauren Kate
12591698,"Caliban's War (The Expanse, #2)",4192148,James S.A. Corey
12598982,Afterwards,3953740,Rosamund Lupton
12600138,"Ready Player One (Ready Player One, #1)",31712,Ernest Cline
12601366,La ofensa,6997439,Ricardo Menéndez Salmón
12603770,"Oh Shit, Not Again",4846114,Mandar Kokate
12604447,Death in the City of Light: The Serial Killer of Nazi-Occupied Paris,82991,David King
12604757,Gift from the Sea,21135,Anne Morrow Lindbergh
12605157,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",3367145,Chris Guillebeau
