book_id,book_title,author_id,author_name
44874,Code: Version 2.0,25159,Lawrence Lessig
44882,Code: The Hidden Language of Computer Hardware and Software,25169,Charles Petzold
44886,Brando: The Biography,25172,Peter Manso
44891,The Kid Stays in the Picture,1377077,Robert  Evans
44905,Writing Down the Bones: Freeing the Writer Within,25189,Natalie Goldberg
44930,"The Glass Books of the Dream Eaters (Miss Temple, Doctor Svenson, and Cardinal Chang, #1)",25205,Gordon Dahlquist
44987,Kim,6989,Rudyard Kipling
45000,The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America,25254,Russell Shorto
45020,"Shakespeare's Landlord (Lily Bard, #1)",17061,Charlaine Harris
45032,Mansfield Park,1265,Jane Austen
45032,Mansfield Park,25280,Kathryn Sutherland
45033,On the Rez,25281,Ian Frazier
45035,Mansfield Park,1265,Jane Austen
45035,Mansfield Park,362983,James Kinsley
45035,Mansfield Park,159249,Jane Stabler
45066,The Mill on the Floss,173,George Eliot
45066,The Mill on the Floss,657943,Carol T. Christ
45091,Agnes Grey,8249,Anne Brontë
45100,"Ship of Magic (Liveship Traders, #1)",25307,Robin Hobb
45101,"The Mad Ship (Liveship Traders, #2)",25307,Robin Hobb
45102,"Ship of Destiny (Liveship Traders, #3)",25307,Robin Hobb
45106,"Forest Mage (Soldier Son, #2)",25307,Robin Hobb
45107,"Assassin's Apprentice (Farseer Trilogy, #1)",25307,Robin Hobb
45108,"Fool's Fate (Tawny Man, #3)",25307,Robin Hobb
45109,"Golden Fool (Tawny Man, #2)",25307,Robin Hobb
45111,"Shaman's Crossing (Soldier Son, #1)",25307,Robin Hobb
45112,"Assassin's Quest (Farseer Trilogy, #3)",25307,Robin Hobb
45116,The Scold's Bridle,23280,Minette Walters
45118,The Devil's Feather,23280,Minette Walters
45162,Fingersmith,25334,Sarah Waters
45169,"Step on a Crack (Michael Bennett, #1)",3780,James Patterson
45169,"Step on a Crack (Michael Bennett, #1)",8213,Michael Ledwidge
45195,A Passage to India,86404,E.M. Forster
45195,A Passage to India,2515,Oliver Stallybrass
45195,A Passage to India,39847,Pankaj Mishra
45196,A Passage To India,86404,E.M. Forster
45196,A Passage To India,2515,Oliver Stallybrass
45201,A Passage to India,86404,E.M. Forster
45220,I Never Promised You a Rose Garden,14929824,Hannah  Green
45220,I Never Promised You a Rose Garden,25366,Joanne Greenberg
45234,The Gun Seller,25372,Hugh Laurie
45241,The Neutronium Alchemist 1: Consolidation (Night's Dawn 2),25375,Peter F. Hamilton
45242,The Neutronium Alchemist 2: Conflict (Night's Dawn 2),25375,Peter F. Hamilton
45243,The Naked God 2: Faith (Night's Dawn 3),25375,Peter F. Hamilton
45244,"Judas Unchained (Commonwealth Saga, #2)",25375,Peter F. Hamilton
45244,"Judas Unchained (Commonwealth Saga, #2)",4248317,Marta García Martínez
45245,"The Reality Dysfunction (Night's Dawn, #1)",25375,Peter F. Hamilton
45246,The Naked God 1: Flight (Night's Dawn 3),25375,Peter F. Hamilton
45252,"Pandora's Star (Commonwealth Saga, #1)",25375,Peter F. Hamilton
45252,"Pandora's Star (Commonwealth Saga, #1)",4248317,Marta García Martínez
45260,"The Naked God (Night's Dawn, #3)",25375,Peter F. Hamilton
45279,Criptonomicón II: El código Pontifex,545,Neal Stephenson
45279,Criptonomicón II: El código Pontifex,32701,Pedro Jorge Romero
45291,Walt Whitman: A Life,25385,Justin Kaplan
45296,"Blind Willow, Sleeping Woman",3354,Haruki Murakami
45296,"Blind Willow, Sleeping Woman",7306,Jay Rubin
45296,"Blind Willow, Sleeping Woman",403782,Philip Gabriel
45310,Hard-Boiled Wonderland and the End of the World,3354,Haruki Murakami
45310,Hard-Boiled Wonderland and the End of the World,323598,Alfred Birnbaum
45314,Kafka on the Shore,3354,Haruki Murakami
45314,Kafka on the Shore,403782,Philip Gabriel
45316,Sputnik Sweetheart,3354,Haruki Murakami
45316,Sputnik Sweetheart,403782,Philip Gabriel
45322,Joseph Cornell: Shadowplay. . .Eterniday,25403,Lynda Roscoe Hartigan
45322,Joseph Cornell: Shadowplay. . .Eterniday,25400,Robert Lehrman
45322,Joseph Cornell: Shadowplay. . .Eterniday,25399,Richard Vine
45322,Joseph Cornell: Shadowplay. . .Eterniday,25402,Walter Hopps
45324,Democracy Matters: Winning the Fight Against Imperialism,6176,Cornel West
45344,G Is for One Gzonk!: An Alpha-number-bet Book,25421,Tony DiTerlizzi
45349,Desiring God: Meditations of a Christian Hedonist,25423,John Piper
45364,The Pleasures of God: Meditations on God's Delight in Being God,25423,John Piper
45369,Arthur & George,1462,Julian Barnes
45384,Territorio comanche,40398,Arturo Pérez-Reverte
45415,A Pacific Northwest Nature Sketchbook,25452,Jude Siegel
45431,Half Moon Investigations,10896,Eoin Colfer
45436,The Wish List,10896,Eoin Colfer
45448,"The Arctic Incident (Artemis Fowl, #2)",10896,Eoin Colfer
45480,"The Amber Spyglass (His Dark Materials, #3)",3618,Philip Pullman
45480,"The Amber Spyglass (His Dark Materials, #3)",178734,Ian Beck
45487,"El catalejo lacado (La materia oscura, #3)",3618,Philip Pullman
45487,"El catalejo lacado (La materia oscura, #3)",18639417,Dolores Gallart
45487,"El catalejo lacado (La materia oscura, #3)",3072856,Camila Batlles
45494,FontBook,215417,Erik Spiekermann
45494,FontBook,6535984,Jürgen Sibert
45494,FontBook,2378067,Mai-Linh Thi Truong
45495,El alquimista: una fábula para seguir tus sueños,566,Paulo Coelho
45495,El alquimista: una fábula para seguir tus sueños,3092313,Juan Godó Costa
45497,El alquimista,566,Paulo Coelho
45505,Why We Buy,25474,Paco Underhill
45511,Die Broke: A Radical Four-Part Financial Plan,13807,Stephen M. Pollan
45511,Die Broke: A Radical Four-Part Financial Plan,1862122,Mark       Levine
45520,"Berkeley Guides: Europe 1996: On the Loose, On the Cheap, Off the Beaten Path (Berkeley Guides)",2954440,Fodor's Travel Publications Inc.
45520,"Berkeley Guides: Europe 1996: On the Loose, On the Cheap, Off the Beaten Path (Berkeley Guides)",5516844,Berkeley Travel
45529,Montaillou: The Promised Land of Error,25486,Emmanuel Le Roy Ladurie
45529,Montaillou: The Promised Land of Error,25484,Barbara Bray
45536,On the Road,1742,Jack Kerouac
45536,On the Road,13460,Ann Charters
45546,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,5882,Stephen E. Ambrose
45556,Co. Aytch: A Confederate Memoir of the Civil War,16633358,Sam R. Watkins
45562,The Life of Billy Yank: The Common Soldier of the Union,25497,Bell Irvin Wiley
45567,Life of Johnny Reb: The Common Soldier of the Confederacy,25497,Bell Irvin Wiley
45574,Ajax in Action,25506,Dave Crane
45574,Ajax in Action,25504,Eric Pascarello
45574,Ajax in Action,25505,Darren James
45591,La Tía Julia y el Escribidor,22515,Mario Vargas Llosa
45606,Narraciones Extraordinarias,4624490,Edgar Allan Poe
45609,"El león, la bruja y el armario (Las crónicas de Narnia, #2)",1069006,C.S. Lewis
45609,"El león, la bruja y el armario (Las crónicas de Narnia, #2)",25523,Pauline Baynes
45609,"El león, la bruja y el armario (Las crónicas de Narnia, #2)",205248,Gemma Gallart
45633,You Bright and Risen Angels,940746,William T. Vollmann
45637,"Rising Up and Rising Down: Some Thoughts on Violence, Freedom and Urgent Means",940746,William T. Vollmann
45639,Poor People,940746,William T. Vollmann
45643,Las Aventuras de Tom Sawyer,1244,Mark Twain
45681,The Rainbow Stories,940746,William T. Vollmann
45684,The Rifles,940746,William T. Vollmann
45685,The Canterville Ghost,3565,Oscar Wilde
45685,The Canterville Ghost,279134,Inga Moore
45685,The Canterville Ghost,6454415,Giada Riondino
45690,The Canterville Ghost,25541,John Escott
45690,The Canterville Ghost,3565,Oscar Wilde
45690,The Canterville Ghost,3054249,Summer Durantz
45732,Carta de una desconocida,25573,Stefan Zweig
45732,Carta de una desconocida,6521188,Berta Conill
45737,Por quién doblan las campanas,1455,Ernest Hemingway
45737,Por quién doblan las campanas,620946,Juan Villoro
45757,Doctor Pasavento,25591,Enrique Vila-Matas
45760,Girl With Curious Hair,4339,David Foster Wallace
45783,The Tailor of Panama,1411964,John le Carré
45791,The Ballad of the Sad Café and Other Stories,3506,Carson McCullers
45793,"The Murders in the Rue Morgue: The Dupin Tales (C. Auguste Dupin, #1-3)",4624490,Edgar Allan Poe
45793,"The Murders in the Rue Morgue: The Dupin Tales (C. Auguste Dupin, #1-3)",6247,Matthew Pearl
45794,Clockers,16481,Richard Price
45806,La tabla de Flandes,40398,Arturo Pérez-Reverte
45813,La tabla de Flandes,40398,Arturo Pérez-Reverte
45843,Atlas of Human Anatomy,25633,Frank H. Netter
45848,Clinically Oriented Anatomy,25657,Keith L. Moore
45848,Clinically Oriented Anatomy,16305057,Arthur F. Dalley II
