book_id,book_title,author_id,author_name
33951,The Nanny Diaries,9222,Emma McLaughlin
33951,The Nanny Diaries,796724,Nicola Kraus
33975,Animal E.R.: Extraordinary Stories Hope Healing from 1 World's Leading Veterinary Hospitals,19146,Vicki Constantine Croke
33975,Animal E.R.: Extraordinary Stories Hope Healing from 1 World's Leading Veterinary Hospitals,19146,Vicki Constantine Croke
33993,Citizen Girl,9222,Emma McLaughlin
33993,Citizen Girl,796724,Nicola Kraus
34036,Mosby's Comprehensive Review for Veterinary Technicians,19206,Monica M. Tighe
34036,Mosby's Comprehensive Review for Veterinary Technicians,19205,Marg Brown
34051,Complete Verse,6989,Rudyard Kipling
34053,Just So Stories,6989,Rudyard Kipling
34072,Jimmy Corrigan: The Smartest Kid on Earth,5112,Chris Ware
34080,The Waste Land,18540,T.S. Eliot
34080,The Waste Land,214066,Michael North
34082,The Waste Land and Other Writings,18540,T.S. Eliot
34082,The Waste Land and Other Writings,8865,Mary Karr
34084,"The Waste Lands (The Dark Tower, #3)",3389,Stephen King
34084,"The Waste Lands (The Dark Tower, #3)",7431,Ned Dameron
34176,Reservations Recommended,19254,Eric Kraft
34199,The I Ching or Book of Changes,33495,Richard Wilhelm
34199,The I Ching or Book of Changes,19277,Cary F. Baynes
34199,The I Ching or Book of Changes,38285,C.G. Jung
34241,焼きたて!!ジャぱん 1,16406,Takashi Hashiguchi
34241,焼きたて!!ジャぱん 1,2998985,橋口 たかし
34242,Climbing the Mango Trees: A Memoir of a Childhood in India,17693,Madhur Jaffrey
34243,"Poetry Index Annual, 1985",5534271,Saint Granger Book Company
34263,"Peter and the Starcatchers (Peter and the Starcatchers, #1)",6245,Dave Barry
34263,"Peter and the Starcatchers (Peter and the Starcatchers, #1)",6244,Ridley Pearson
34263,"Peter and the Starcatchers (Peter and the Starcatchers, #1)",337207,Greg Call
34264,Peter Pan in Scarlet,1631,Geraldine McCaughrean
34264,Peter Pan in Scarlet,2738043,Scott M. Fischer
34268,Peter Pan,5255014,J.M. Barrie
34268,Peter Pan,13290,Michael Hague
34284,"The Chronicles of Chrestomanci, Volume 1 (Chrestomanci, #1-2)",4260,Diana Wynne Jones
34287,The Ogre Downstairs,4260,Diana Wynne Jones
34301,Echoes,3532,Maeve Binchy
34303,Firefly Summer,3532,Maeve Binchy
34305,"This Year It Will Be Different, and other stories",3532,Maeve Binchy
34308,Light A Penny Candle,3532,Maeve Binchy
34309,Silver Wedding,3532,Maeve Binchy
34309,Silver Wedding,3179032,Annet Mons
34310,The Glass Lake,3532,Maeve Binchy
34312,The Copper Beech,3532,Maeve Binchy
34314,Sweetwater Creek,6946,Anne Rivers Siddons
34318,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1077326,J.K. Rowling
34318,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",2927,Mary GrandPré
34352,Gertrude,1113469,Hermann Hesse
34352,Gertrude,8463,Hilda Rosner
34363,"Salamandastron (Redwall, #5)",5329,Brian Jacques
34363,"Salamandastron (Redwall, #5)",158961,Gary Chalk
34368,"Martin the Warrior (Redwall, #6)",5329,Brian Jacques
34368,"Martin the Warrior (Redwall, #6)",158961,Gary Chalk
34413,Proverbs & Sayings of Ireland,16340976,Sean  Gaffney
34431,"Henry IV, Part 2",947,William Shakespeare
34439,Oedipus the King,1002,Sophocles
34440,Doctor Faustus,19405,Thomas Mann
34440,Doctor Faustus,60286,John E. Woods
34445,The Tragical History of the Life and Death of Doctor Faustus,11155,Christopher Marlowe
