book_id,book_title,author_id,author_name
272169,Hemingway's Chair,13819,Michael Palin
272180,La Libertad y Sus Enemigos,54213,Carlos Alberto Montaner
272440,Strip City: A Stripper's Farewell Journey Across America,158739,Lily Burana
272574,The Dud Avocado (Virago Modern Classics),158821,Elaine Dundy
272574,The Dud Avocado (Virago Modern Classics),3164070,Rachel Cooke
272607,"Fade Away (Myron Bolitar, #3)",24689,Harlan Coben
272610,Not Fade Away,158844,Jim Dodge
272752,Seedfolks,67810,Paul Fleischman
272752,Seedfolks,60580,Judy Pedersen
272825,"Stone of Tears (Sword of Truth, #2)",3441,Terry Goodkind
272895,"The Black Stallion (The Black Stallion, #1)",16628,Walter Farley
272895,"The Black Stallion (The Black Stallion, #1)",2861813,Keith Ward
272934,How to Buy and Sell a Business: How You Can Win in the Business Quadrant,15809,Garrett Sutton
272934,How to Buy and Sell a Business: How You Can Win in the Business Quadrant,600,Robert T. Kiyosaki
272978,Foghorn Outdoors 101 Great Hikes of the San Francisco Bay Area,159053,Ann Marie Brown
273200,Who's Afraid of Virginia Woolf?,9322,Edward Albee
273458,"Check, Please!: Dating, Mating, and Extricating",159389,Janice Dickinson
273459,Everything About Me Is Fake... and I'm Perfect,159389,Janice Dickinson
273499,The Sweet Hereafter,15128,Russell Banks
273669,"The Escoffier Cookbook: And Guide to the Fine Art of Cookery for Connoisseurs, Chefs, Epicures",159516,Auguste Escoffier
273808,"Shoot from the Lip (A Yellow Rose Mystery, #4)",159606,Leann Sweeney
273921,The Arabian Nights,20324424,Anonymous                         .
273921,The Arabian Nights,53411,Husain Haddawy
273921,The Arabian Nights,115530,Muhsin Mahdi
273986,A Gesture Life,21050,Chang-rae Lee
274153,"The Virgin Queen: Elizabeth I, Genius of the Golden Age",62108,Christopher Hibbert
274186,The Remains of the Day,4280,Kazuo Ishiguro
274210,A Romantic Education,3195,Patricia Hampl
274826,Propaganda: The Formation of Men's Attitudes,59700,Jacques Ellul
274826,Propaganda: The Formation of Men's Attitudes,3492717,Konrad Kellen
274826,Propaganda: The Formation of Men's Attitudes,3851905,Jean Lerner
274942,The Family,12605,Mario Puzo
274942,The Family,12606,Carol Gino
275130,Cotton Candy on a Rainy Day,22050,Nikki Giovanni
275635,The Land Where the Blues Began,130818,Alan Lomax
275844,Deadline,28010,Chris Crutcher
275961,Inside: Life Behind Bars in America,160774,Michael G. Santos
276098,"Cosmetics, Fashions, and the Exploitation of Women",6952931,Joseph  Hansen
276098,"Cosmetics, Fashions, and the Exploitation of Women",66114,Mary-Alice Waters
276098,"Cosmetics, Fashions, and the Exploitation of Women",160867,Evelyn Reed
276113,"A History of India, Vol. 1: From Origins to 1300 (A History of India #1)",160872,Romila Thapar
276123,بامداد خمار,266178,فتانه حاج سیدجوادی
276145,چراغ‌ها را من خاموش می‌کنم,925519,Zoya Pirzad
276194,Germany 1866-1945 (History of Modern Europe),160916,Gordon A. Craig
276480,Apocalypse Culture II,32344,Adam Parfrey
276480,Apocalypse Culture II,9016,Colin Wilson
276480,Apocalypse Culture II,208310,George Petros
276480,Apocalypse Culture II,3002675,Chris Campion
276480,Apocalypse Culture II,20001684,Robert     Sterling
276480,Apocalypse Culture II,538589,David Woodard
276480,Apocalypse Culture II,2033218,Dan Kelly
276480,Apocalypse Culture II,1270909,Wes Thomas
276480,Apocalypse Culture II,91722,Crispin Hellion Glover
276480,Apocalypse Culture II,450141,Boyd Rice
276480,Apocalypse Culture II,5678307,Kadmon
276480,Apocalypse Culture II,3242417,Chad Hensley
276480,Apocalypse Culture II,6054976,Theodore J. Kaczynski
276480,Apocalypse Culture II,339143,James Shelby Downard
276480,Apocalypse Culture II,5832503,Rod Dickinson
276480,Apocalypse Culture II,5832504,Steve Speer
276480,Apocalypse Culture II,5832505,Sarita Vendetta
276480,Apocalypse Culture II,5832506,Ghazi Barakat
276480,Apocalypse Culture II,148455,Kristan Lawson
276480,Apocalypse Culture II,2795905,Issei Sagawa
276480,Apocalypse Culture II,5832507,Rosemary Malign
276480,Apocalypse Culture II,237654,Danny Rolling
276480,Apocalypse Culture II,1232403,Larry Wayne Harris
276480,Apocalypse Culture II,947897,Pentti Linkola
276480,Apocalypse Culture II,5338546,Nicolas Claux
276480,Apocalypse Culture II,5832508,Stu Mead
276480,Apocalypse Culture II,582127,Trevor Brown
276480,Apocalypse Culture II,5832509,George LaMort
276480,Apocalypse Culture II,5832510,Beth Love
276480,Apocalypse Culture II,46228,Jim Goad
276480,Apocalypse Culture II,30745,Peter Sotos
276480,Apocalypse Culture II,67340,Michael Moynihan
276480,Apocalypse Culture II,368996,Sondra London
276480,Apocalypse Culture II,194965,Jonathan Vankin
276480,Apocalypse Culture II,5832511,Irv Rubin
276541,Hard Love,161133,Ellen Wittlinger
276691,"The Birth Of The Earth (A Cartoon History of the Earth, #1)",161215,Jacqui Bailey
276796,Utz,43665,Bruce Chatwin
276820,The Dog Fighter,29240,Marc Bojanowski
276859,El árbol de la ciencia,636591,Pío Baroja
276877,"Absolute Fear (New Orleans, #4)",13757,Lisa Jackson
276892,Elementary Differential Equations and Boundary Value Problems [with Ode Architect CD],95626,William E. Boyce
276892,Elementary Differential Equations and Boundary Value Problems [with Ode Architect CD],95631,Richard C. DiPrima
277303,The Yoga of Herbs: An Ayurvedic Guide to Herbal Medicine,65190,David Frawley
277303,The Yoga of Herbs: An Ayurvedic Guide to Herbal Medicine,41137,Vasant Dattatray Lad
277397,Ellen Foster,3501,Kaye Gibbons
277534,The Light of Day,3449,Graham Swift
277594,Night of the Radishes,5553015,Sandra Benítez
277603,Neighbors,28517,Thomas Berger
277604,"A Long and Terrible Shadow: White Values, Native Rights in the Americas Since 1492",161744,Thomas R. Berger
277605,Adventures of the Artificial Woman,28517,Thomas Berger
277630,North To The Night: A Spiritual Odyssey In The Arctic,161762,Alvah Simon
277655,Notes from the Shore,161774,Jennifer Ackerman
277655,Notes from the Shore,3955366,Karin Grosz
277790,Knitting Under the Influence,26638,Claire LaZebnik
277897,"Working for the Devil (Dante Valentine, #1)",131208,Lilith Saintcrow
278039,The Mike Hammer Collection: Volume I,50948,Mickey Spillane
278039,The Mike Hammer Collection: Volume I,12014,Max Allan Collins
278081,Everyone's Pretty,8523,Lydia Millet
278102,Kaleidoscope,14255,Danielle Steel
278216,The Balkans: A Short History,9013,Mark Mazower
278227,How We Survived Communism and Even Laughed,124613,Slavenka Drakulić
278264,Wringer,12696,Jerry Spinelli
278537,"The Shore Road Mystery (The Hardy Boys, #6)",1879,Franklin W. Dixon
278537,"The Shore Road Mystery (The Hardy Boys, #6)",2769068,Walter S. Rogers
278795,Seizure,19697,Robin Cook
278796,Shock,19697,Robin Cook
278796,Shock,4090860,Marcelo Covián
278797,Abduction,19697,Robin Cook
278855,The Purloined Letter/Murders in Rue Morgue,4624490,Edgar Allan Poe
278855,The Purloined Letter/Murders in Rue Morgue,579382,Rick Schreiter
279031,تاریخ ایران باستان، جلد اول,204130,حسن پیرنیا
279236,Critical Condition: How Health Care in America Became Big Business--and Bad Medicine,162536,Donald L. Barlett
279236,Critical Condition: How Health Care in America Became Big Business--and Bad Medicine,6467156,James B. Steele
279637,تاریخ کیش زردشت / جلد سوم / پس از اسکندر گجسته,113428,Mary Boyce
279637,تاریخ کیش زردشت / جلد سوم / پس از اسکندر گجسته,3118484,همایون صنعتی‌زاده
280111,Holy Bible: New International Version,5158478,Anonymous
280256,Refusing Heaven,82593,Jack Gilbert
280346,Don't Look Back (Konrad Sejer #2),163027,Karin Fossum
280346,Don't Look Back (Konrad Sejer #2),430459,Felicity David
280366,"Jar City (Inspector Erlendur, #3)",6861265,Arnaldur Indriðason
280366,"Jar City (Inspector Erlendur, #3)",804604,Bernard Scudder
280410,The Nine: Inside the Secret World of the Supreme Court,163130,Jeffrey Toobin
280716,"Lavondyss (Mythago Wood, #2)",72538,Robert Holdstock
280717,"The Hollowing (Mythago Wood, #4)",72538,Robert Holdstock
280773,Culture Jam: How To Reverse America's Suicidal Consumer Binge - And Why We Must,131912,Kalle Lasn
280888,"The Bisexual's Guide to the Universe: Quips, Tips, and Lists for Those Who Go Both Ways",163392,Nicole Kristal
280888,"The Bisexual's Guide to the Universe: Quips, Tips, and Lists for Those Who Go Both Ways",3956333,Mike Szymanski
280914,"Psychology for Teaching: A Bear Always, Usually, Sometimes, Rarely, Never, Always Faces the Front--Will Not Commit Himself Just Now",163412,Guy R. Lefrancois
281069,The Memory Palace of Matteo Ricci,29444,Jonathan D. Spence
281196,"Fire Sale (V.I. Warshawski, #12)",28509,Sara Paretsky
281202,Space,6324,Jesse Lee Kercheval
281215,"Hard Time (V.I. Warshawski, #9)",28509,Sara Paretsky
281215,"Hard Time (V.I. Warshawski, #9)",28508,Jean Smart
281215,"Hard Time (V.I. Warshawski, #9)",539634,Sonja Hauser
281221,Goat: A Memoir,163566,Brad Land
281235,"Bunnicula (Bunnicula, #1)",163577,Deborah Howe
281235,"Bunnicula (Bunnicula, #1)",51424,James Howe
281235,"Bunnicula (Bunnicula, #1)",524662,Alan Daniel
281380,"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",4273,Roald Dahl
281380,"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",146,Quentin Blake
281433,Tick Tock,9355,Dean Koontz
281572,Prisoner of Tehran,163705,Marina Nemat
281650,Candide oder Der Optimismus,5754446,Voltaire
281946,Pencil Drawing Techniques,8554700,David     Lewis
282134,گفت و گوهای اوریانا فالاچی,25545,Oriana Fallaci
282134,گفت و گوهای اوریانا فالاچی,1371985,غلامرضا امامی
282161,Homenaje a Cataluña,3706,George Orwell
282169,Fish: A Memoir of a Boy in a Man's Prison,1388489,T.J. Parsell
282200,7 Steps to Fearless Speaking,164096,Lilyan Wilder
282675,Jernigan,68607,David Gates
283312,The Shipwrecked Sailor: A Tale of Ancient Egypt,40585,John L. Foster
283312,The Shipwrecked Sailor: A Tale of Ancient Egypt,164631,Lyla Pinch Brock
283316,Beauty Queen,164633,Linda Glovach
