book_id,book_title,author_id,author_name
4377157,"Isfahan and Its Palaces: Statecraft, Shi`ism and the Architecture of Conviviality in Early Modern Iran",131417,Sussan Babaie
4428988,Sag Harbor,10029,Colson Whitehead
4431262,Jackal Woman,465707,Laurence Pringle
4443618,Family Planning,1856113,Karan Mahajan
4443720,مدراتوکانتابیله,163,Marguerite Duras
4443720,مدراتوکانتابیله,2917058,رضا سیدحسینی
4444086,Sobre Vida y destino/ About Life and fate,19595,Vasily Grossman
4444086,Sobre Vida y destino/ About Life and fate,42391,Tzvetan Todorov
4444086,Sobre Vida y destino/ About Life and fate,5821038,Efim Etkind
4444086,Sobre Vida y destino/ About Life and fate,2907865,Marta Rebón
4446359,Firmin,200335,Sam Savage
4447622,"Some Girls Bite (Chicagoland Vampires, #1)",1857564,Chloe Neill
4448489,Data Structures and Algorithms in Java [With *],15693,Michael T. Goodrich
4448489,Data Structures and Algorithms in Java [With *],15692,Roberto Tamassia
4449873,The Good Wife's Guide (Le Ménagier de Paris): A Medieval Household Book,4699102,Unknown
4449873,The Good Wife's Guide (Le Ménagier de Paris): A Medieval Household Book,4731331,Gina L. Greco
4449873,The Good Wife's Guide (Le Ménagier de Paris): A Medieval Household Book,6869163,Christine M. Rose
4452257,The Book of Basketball: The NBA According to The Sports Guy,9941,Bill Simmons
4452352,"Porsche: Excellence Was Expected: The Comprehensive History of the Company, Its Cars and Its Racing Heritage",1560995,Karl E. Ludvigsen
4452594,چارلی و آسانسور بزرگ  شیشه‌ای,4273,Roald Dahl
4452594,چارلی و آسانسور بزرگ  شیشه‌ای,840855,شهلا طهماسبی
4456623,"Plain, Honest Men: The Making of the American Constitution",378381,Richard Beeman
4457297,Shakespeare Wrote for Money,2929,Nick Hornby
4458696,A Passage to India,86404,E.M. Forster
4458696,A Passage to India,126505,Meera Syal
4461093,Scarne's Encyclopedia Of Card Games,440264,John Scarne
4462301,The Annotated Lolita,5152,Vladimir Nabokov
4462301,The Annotated Lolita,65184,Alfred Appel
4484388,Dracula's Heir (Interactive Mysteries),38063,Sam Stall
4485966,Talent is Overrated: What Really Separates World-Class Performers from Everybody Else,988764,Geoff Colvin
4486057,Managerial Economics with Infotrac College Edition,960067,Mark Hirschey
4489897,Nerone: duemila anni di calunnie,885013,Massimo Fini
4492520,Le Goût du Chlore,1211012,Bastien Vivès
4494917,"Gone Tomorrow (Jack Reacher, #13)",5091,Lee Child
4497740,Rebound Rules: The Art of Success 2.0,149875,Rick Pitino
4497740,Rebound Rules: The Art of Success 2.0,1278943,Pat Forde
4500735,The Epic of Eden: A Christian Entry Into the Old Testament,1877767,Sandra L. Richter
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",15872,Rick Riordan
4502589,O Outro Pé da Sereia,49680,Mia Couto
4502877,Midnight Sun [2008 Draft],941441,Stephenie Meyer
4505161,"The House on Tradd Street (Tradd Street, #1)",160033,Karen   White
4505241,Contemporary Urban Planning,310853,John M. Levy
4508057,The Well-Played Game: A Playful Path to Wholeness,1420042,Bernie DeKoven
4516478,War in the West: Pea Ridge and Prairie Grove,125427,William L. Shea
4516478,War in the West: Pea Ridge and Prairie Grove,5910,Grady McWhiney
4517257,"A Single Thread (Cobbled Court Quilts, #1)",489648,Marie Bostwick
4520796,The Sisters Antipodes,1980,Jane Alison
4526766,بازگشت شاه,656983,J.R.R. Tolkien
4526766,بازگشت شاه,703849,رضا علیزاده
4537005,"Disquiet, Please!: More Humor Writing from The New Yorker",70184,Henry Finder
4537005,"Disquiet, Please!: More Humor Writing from The New Yorker",29303,David Remnick
4541539,Сахарный Кремль,39839,Vladimir Sorokin
4541539,Сахарный Кремль,8525282,Владимир Сорокин
4543746,Neuro Web Design: What Makes Them Click?,1893922,Susan M. Weinschenk
4554304,Galway Bay,86462,Mary Pat Kelly
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",15872,Rick Riordan
4556604,Two Rivers,133394,T. Greenwood
4564833,خداحافظ گاری کوپر,32807,Romain Gary
4564833,خداحافظ گاری کوپر,966015,سروش حبیبی
4574010,سرزمین گوجه‌های سبز,134980,Herta Müller
4574010,سرزمین گوجه‌های سبز,2003317,غلامحسين ميرزاصالح
4578366,"Lady's Hands, Lion's Heart- A Midwife's Saga",131476,Carol Leonard
4579529,Pop Goes the Weasel: The Secret Meanings Of Nursery Rhymes,12794,Albert Jack
4580836,"The Gamble: General David Petraeus and the American Military Adventure in Iraq, 2006-2008",49422,Thomas E. Ricks
4581234,"The Anywhere, Anytime Chill Guide: 77 Simple Strategies for Serenity",133499,Kate Hanley
4581647,Bangkok City Guide (Lonely Planet City Guide),51376,Andrew Burke
4581647,Bangkok City Guide (Lonely Planet City Guide),1908224,Austin Bush
4581647,Bangkok City Guide (Lonely Planet City Guide),68856,Joe Cummings
4581647,Bangkok City Guide (Lonely Planet City Guide),6980602,Lonely Planet
4587182,استاد عشق,331819,Iraj Hesabi
4588949,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",27100,Michael Scott
4589729,"Oishinbo a la carte, Volume 2 - Sake",1911325,Tetsu Kariya
4589729,"Oishinbo a la carte, Volume 2 - Sake",2870695,Akira Hanasaki
4589730,"Oishinbo a la carte, Volume 3 - Ramen and Gyoza",1911325,Tetsu Kariya
4589730,"Oishinbo a la carte, Volume 3 - Ramen and Gyoza",2870695,Akira Hanasaki
4589731,"Oishinbo a la carte, Volume 1 - Japanese Cuisine",1911325,Tetsu Kariya
4589731,"Oishinbo a la carte, Volume 1 - Japanese Cuisine",2870695,Akira Hanasaki
4591367,القاهرة الجديدة,5835922,Naguib Mahfouz
4591367,القاهرة الجديدة,4273240,نجيب محفوظ
4601396,Pygmy,2546,Chuck Palahniuk
4604185,Suicide,1746724,Édouard Levé
4605973,Marathon Mom,1072670,Linda Schreiber
4606294,The Mad Trapper Of Rat River,210063,Dick North
4607302,در آفریقا همیشه مرداد است,1372199,Marcello D'Orta
4607302,در آفریقا همیشه مرداد است,8047571,حمید زرگر باشی
4618728,Honolulu,2226,Alan Brennert
4619128,ابر شلوار پوش,4452588,Vladimir Mayakovsky
4619128,ابر شلوار پوش,208071,مدیا کاشیگر
4619547,زندگی در پیش رو   ,32807,Romain Gary
