book_id,book_title,author_id,author_name
512679,The Basic Eight,7176,Daniel Handler
512818,Taash and the Jesters,229395,Ellen Kindt McKenzie
512878,ماه نیمروز,1076358,Shahriar Mandanipour
512902,Money for Nothing: One Man's Journey Through the Dark Side of Lottery Millions,285145,Edward Ugel
512906,گنگ خواب دیده / جلد اول,43123,Mohsen Makhmalbaf
513176,"Rogue Squadron (Star Wars: X-Wing, #1)",17739,Michael A. Stackpole
513198,"Wedge's Gamble (Star Wars: X-Wing, #2)",17739,Michael A. Stackpole
513200,"The Krytos Trap (Star Wars: X-Wing, #3)",17739,Michael A. Stackpole
513201,"The Bacta War (Star Wars: X-Wing, #4)",17739,Michael A. Stackpole
513275,Jakob von Gunten,16073,Robert Walser
513275,Jakob von Gunten,73086,Christopher Middleton
513533,"Thud! (Discworld, #34)",1654,Terry Pratchett
513534,"Monstrous Regiment (Discworld, #31)",1654,Terry Pratchett
513574,The Secret Sharer and other stories,3345,Joseph Conrad
513812,گیله‌مرد,209576,Bozorg Alavi
514113,"The Royal Pain (Alaskan Royal Family, #2)",1429808,MaryJanice Davidson
514126,La palabra del mudo: Cuentos 52/72,36786,Julio Ramón Ribeyro
514210,The Way of Zen,1501668,Alan W. Watts
514299,Good Hope Road  (Tending Roses #2),178832,Lisa Wingate
514300,A Thousand Voices (Tending Roses #5),178832,Lisa Wingate
514301,Tending Roses (Tending Roses #1),178832,Lisa Wingate
514313,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,2850,Ben Mezrich
514365,F/V Black Sheep,285811,Mark S. Williams
514454,Optic Nerve #1,43554,Adrian Tomine
514772,Arte de Amar y Las Metamorfosis,1127,Ovid
514778,"Swimming Without a Net (Fred the Mermaid, #2)",1429808,MaryJanice Davidson
514951,Blood of Brothers: Life and War in Nicaragua (Latin American Studies),6333,Stephen Kinzer
514964,Confessions of an Economic Hitman,1452,John Perkins
515565,Exploring The World of the Druids,173056,Miranda Aldhouse-Green
515608,"The Bourne Identity (Jason Bourne, #1)",5293,Robert Ludlum
515638,"Super Casino: Inside the ""New"" Las Vegas",18225,Pete Earley
515729,Beethoven Was One-Sixteenth Black and Other Stories,55397,Nadine Gordimer
516036,Do Androids Dream of Electric Sheep?,4764,Philip K. Dick
516060,Incredibly Strange Films,13466,V. Vale
516060,Incredibly Strange Films,119732,Andrea Juno
516060,Incredibly Strange Films,450141,Boyd Rice
516062,Angry Women,13466,V. Vale
516368,Cranberry Thanksgiving,172180,Wende Devlin
516368,Cranberry Thanksgiving,172179,Harry Devlin
516952,The Waste Land: A Facsimile & Transcript of the Original Drafts,18540,T.S. Eliot
516952,The Waste Land: A Facsimile & Transcript of the Original Drafts,30055,Ezra Pound
516952,The Waste Land: A Facsimile & Transcript of the Original Drafts,45784,Valerie Eliot
517188,The Prime of Miss Jean Brodie,13093,Muriel Spark
517344,"Clementine (Clementine, #1)",92198,Sara Pennypacker
517344,"Clementine (Clementine, #1)",122662,Marla Frazee
517406,Memorias del subsuelo,3137322,Fyodor Dostoyevsky
517406,Memorias del subsuelo,3007921,Rafael Cañete
