book_id,book_title,author_id,author_name
40405444,Digital Minimalism: Choosing a Focused Life in a Noisy World,147891,Cal Newport
40406746,"The Story of Filomena: Book One of ""The Adventures of Filomena"" Series",1169883,Fernando M. Reimers
40406806,Coders: The Making of a New Tribe and the Remaking of the World,979523,Clive Thompson
40407141,What the Wind Knows,5829056,Amy Harmon
40407155,Magdalena Mountain,177321,Robert Michael Pyle
40407446,"If You Ever Want to Bring a Pirate to Meet Santa, Don't! (Magnolia Says DON'T!)",9831156,Elise Parsley
40408380,سیمای احمدشاه قاجار,924695,محمدجواد شیخ‌الاسلامی
40408566,"Space Knight 4 (Space Knight, #4)",14789183,Michael-Scott Earle
40409102,This Is How It Always Is,300536,Laurie Frankel
40409185,The One Man,8214,Andrew Gross
40409742,"French Kids Eat Everything: How Our Family Moved to France, Cured Picky Eating, Banned Snacking, and Discovered 10 Simple Rules for Raising Happy, Healthy Eaters",5315363,Karen Le Billon
40411206,Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls (and Everything in Between),1906497,Lauren Graham
40415813,The Elephant in the Room: One Fat Man's Quest to Get Smaller in a Growing America,17985438,Tommy Tomlinson
40488122,The Power Of Habit: Why We Do What We Do In Life And Business,5201530,Charles Duhigg
40489693,Two Can Keep a Secret,15127507,Karen M. McManus
40490167,"Maus: Un survivant raconte, tome 1: Mon père saigne l'histoire (Maus, #1)",5117,Art Spiegelman
40491028,O Projeto Desfazer,776,Michael   Lewis
40491557,"Royal Escape (Royal Escape, #1)",8153276,Renna Peak
40491557,"Royal Escape (Royal Escape, #1)",7054618,Ember Casey
40494770,A Short Film About Disappointment: A Novel,15511060,Joshua Mattson
40495957,"Heartstopper: Volume One (Heartstopper, #1)",7789423,Alice Oseman
40495957,"Heartstopper: Volume One (Heartstopper, #1)",7409390,Lluís Delgado
40498242,"Arderás en la tormenta (Dave Gurney, #6)",3248211,John Verdon
40498242,"Arderás en la tormenta (Dave Gurney, #6)",7024548,Santiago del Rey
40504382,"Nigredo, la obra en negro (Los caballeros de Heliópolis, #1)",31779,Alejandro Jodorowsky
40504382,"Nigredo, la obra en negro (Los caballeros de Heliópolis, #1)",4529690,Jérémy
40510378,Leadership and Self-Deception: Getting out of the Box,828,The Arbinger Institute
40510807,This Is Marketing: You Can't Be Seen Until You Learn to See,1791,Seth Godin
40510807,This Is Marketing: You Can't Be Seen Until You Learn to See,17324425,Ken Blanchard
40510987,"Labyrinth Lost (Brooklyn Brujas, #1)",4824952,Zoraida Córdova
40514344,"The Kiss Quotient (The Kiss Quotient, #1)",17147855,Helen Hoang
40514344,"The Kiss Quotient (The Kiss Quotient, #1)",7045831,Carly Robins
40514431,Evvie Drake Starts Over,13575034,Linda  Holmes
40515052,"Harley Merlin and the Secret Coven (Harley Merlin, #1)",6860531,Bella Forrest
40516960,"Aurora Burning (The Aurora Cycle, #2)",5360335,Amie Kaufman
40516960,"Aurora Burning (The Aurora Cycle, #2)",4735144,Jay Kristoff
40519546,The Lost Night,3488726,Andrea Bartz
40520251,Daisy Jones & The Six,6572605,Taylor Jenkins Reid
40523340,"Black Leopard, Red Wolf (The Dark Star Trilogy #1)",56064,Marlon James
40524312,"Black Leopard, Red Wolf (The Dark Star Trilogy #1)",56064,Marlon James
40524709,Burst Mode (Death Ship #3),14789183,Michael-Scott Earle
40526430,"A Question of Holmes (Charlotte Holmes, #4)",6894322,Brittany Cavallaro
40527008,"Murder at Hawthorn Cottage (Melissa Craig, #1)",675563,Betty Rowlands
40527662,"Four to Score (Stephanie Plum, #4)",2384,Janet Evanovich
40530049,The Last Year of the War,60390,Susan Meissner
40530077,Scornfully Yours [Torn Series],6567915,Pamela Ann
40533906,"A Treason of Truths (Whisper, #2)",17283594,Ada Harper
40535143,Homónimos,14434339,Antonio Navarro Santalla
40535664,Magic Is Dead: My Journey into the World's Most Secretive Society of Magicians,8504204,Ian Frisch
40535984,A Beautiful Crime,3899035,Christopher Bollen
40535998,The Unbreakables,6428047,Lisa Barr
40536236,Sea People: The Puzzle of Polynesia,813532,Christina Thompson
40537101,Circe,176372,Madeline Miller
40538584,The New Iberia Blues (Dave Robicheaux #22),7031,James Lee Burke
40538657,The Island of Sea Women,713,Lisa See
40538681,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,4627346,Adam Higginbotham
40538687,Skyscraper,6919340,Jorey Hurley
40538705,Trees,18130688,Verlie Hutchens
40538705,Trees,4020874,Jing Jing Tsong
40538709,Accidental Presidents: Eight Men Who Changed America,141763,Jared Cohen
40538711,"The Players Ball: A Genius, a Con Man, and the Secret History of the Internet's Rise",65730,David Kushner
40538730,I Wrote This Book Because I Love You: Essays,571327,Tim Kreider
40538758,"By Night, Vol. 1",390509,John Allison
40538758,"By Night, Vol. 1",1222718,Christine Larsen
40538758,"By Night, Vol. 1",479331,Sarah Stern
40538762,I Moved to Los Angeles to Work in Animation,5331382,Natalie Nourigat
40538831,How to Hold a Grudge: From Resentment to Contentment—The Power of Grudges to Transform Your Life,232473,Sophie Hannah
40539018,I Miss You When I Blink: Essays,8139177,Mary Laura Philpott
40539045,You Know You Want This,14853744,Kristen Roupenian
40539136,Lie With Me,199634,Philippe Besson
40539136,Lie With Me,671100,Molly Ringwald
40539807,The Wolf and the Watchman,14829820,Niklas Natt och Dag
40539807,The Wolf and the Watchman,39043,Ebba Segerberg
40542426,The Unknown Kimi Raikkonen,305686,Kari Hotakainen
40545682,The Little Prince,1020792,Antoine de Saint-Exupéry
40545682,The Little Prince,18132398,Marina Zhigalova
40545817,"Spring (Seasonal, #3)",68992,Ali Smith
40545827,Greece: Biography of a Modern Nation,49694,Roderick Beaton
40545956,Where the Forest Meets the Stars,18132451,Glendy Vanderah
40549668,Pleasure Activism: The Politics of Feeling Good,1536532,adrienne maree brown
40549901,"Fortress of Shadows (Stonehaven League, #2)",16211461,Carrie  Summers
40552513,The Warner Boys: Our Family’s Story of Autism and Hope,17827152,Curt Warner
40552513,The Warner Boys: Our Family’s Story of Autism and Hope,17290997,Ana Warner
40552513,The Warner Boys: Our Family’s Story of Autism and Hope,493230,Dave Boling
40552730,Small Fry,17993806,Lisa Brennan-Jobs
40554441,Binstead's Safari,165857,Rachel Ingalls
40582697,Tomorrow There Will Be Sun,64085,Dana Reinhardt
40588301,An American Summer: Love and Death in Chicago,23607,Alex Kotlowitz
40591267,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",7578129,Rachel Hollis
40591677,Keep Going: 10 Ways to Stay Creative in Good Times and Bad,2985039,Austin Kleon
40591938,The Ayurvedic Self-Care Handbook: Holistic Healing Rituals for Every Day and Season,18141479,Sarah Kucera
40591938,The Ayurvedic Self-Care Handbook: Holistic Healing Rituals for Every Day and Season,7860333,Suhas Kshirsagar
40594451,"The Sheikh's Tempting Assistant (Sheikh's Meddling Sisters, #1)",1899287,Leslie North
40594595,The Third Pillar: How Markets and the State Leave the Community Behind,101561,Raghuram G. Rajan
40595446,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,5247419,Sonia Purnell
40597519,She Could Fly,18142798,Christopher Cantwell
40597806,Late Bloomers: The Power of Patience in a World Obsessed with Early Achievement,404303,Rich Karlgaard
40597810,Daisy Jones & The Six,6572605,Taylor Jenkins Reid
40598936,This Will Only Hurt a Little,17977629,Busy Philipps
40599820,Unpregnant,18143842,Jenni Hendriks
40599820,Unpregnant,18143840,Ted Caplan
40600310,Just This: Prompts and Practices for Contemplation,7919,Richard Rohr
40601889,Adequate Yearly Progress,2927574,Roxanna Elden
40603347,Sisters First: Stories from Our Wild and Wonderful Life,3340479,Jenna Bush Hager
40603587,"The Last Wish (The Witcher, #0.5)",38569,Andrzej Sapkowski
40603587,"The Last Wish (The Witcher, #0.5)",591108,Danusia Stok
40604126,American Like Me: Reflections on Life Between Cultures,3650926,America Ferrera
40604658,"Jurassic Park (Jurassic Park, #1)",5194,Michael Crichton
40604846,Nothing to Envy: Ordinary Lives in North Korea,785914,Barbara Demick
40605223,I'm Thinking of Ending Things,4112760,Iain Reid
40605285,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",1074866,Alan Bradley
40605488,"Bluebird, Bluebird (Highway 59, #1)",2829019,Attica Locke
40605629,Last Night in Montreal,2786093,Emily St. John Mandel
40605951,Midnight Robber,27528,Nalo Hopkinson
40607327,"Butterface (The Hartigans, #1)",4894804,Avery Flynn
40608553,For All the Tea in China: How England Stole the World's Favorite Drink and Changed History,384202,Sarah Rose
40611069,Slade House,6538289,David Mitchell
40611182,Star,35258,Yukio Mishima
40611182,Star,18306400,Sam Bett
40611194,Magical Negro,14001878,Morgan  Parker
40611197,Famous Men Who Never Lived,18146950,K. Chess
40611402,Pathways to Personalization: A Framework for School Change,18147018,Shawn C. Rubin
40611402,Pathways to Personalization: A Framework for School Change,18147019,Cathy Sanford
40611463,The Clan of the Cave Bear,861,Jean M. Auel
40611999,"Career of Evil (Cormoran Strike, #3)",383606,Robert Galbraith
40612248,Maigret's Pipe,9693,Georges Simenon
40612720,Allí donde se construyen los sueños,4366465,Éric Marchal
40617092,Recipe for a Perfect Wife,9857489,Karma Brown
40623264,Tamer: King of Dinosaurs 5,14789183,Michael-Scott Earle
40624439,When the Game Was Ours,107804,Jackie MacMullan
40624439,When the Game Was Ours,46000,Larry Bird
40624439,When the Game Was Ours,1308043,"Earvin ""Magic"" Johnson"
40624441,Lost Children Archive,4405738,Valeria Luiselli
40626356,El Paladín de Eckmül (Lanfeust de Troy #4),498611,Christophe Arleston
40626356,El Paladín de Eckmül (Lanfeust de Troy #4),827101,Didier Tarquin
40626448,Ella duerme aquí,926233,Dominique Sylvain
40626448,Ella duerme aquí,14086518,Vanesa García Cazorla
40626583,"The Chaperon (Sisters of Woodside Mysteries, #2)",15367090,Mary Kingswood
40629244,"Farmhand, Vol. 1: Reap What Was Sown",16658071,Rob Guillory
40634915,Gingerbread,80808,Helen Oyeyemi
40635377,Sabotaje (Falcó #3),40398,Arturo Pérez-Reverte
40641098,"Hello, World! How Do Apples Grow?",187778,Jill McDonald
40641105,Operation Frog Effect,5316885,Sarah  Lynn Scheerger
40641105,Operation Frog Effect,18154326,Sarah Scheerger
40642333,The Bird King,815259,G. Willow Wilson
40642956,Spring,68992,Ali Smith
