book_id,book_title,author_id,author_name
10867,The Pleasure of My Company,7103,Steve Martin
10868,Picasso at the Lapin Agile and Other Plays,7103,Steve Martin
10873,Shopgirl,7103,Steve Martin
10877,Generation of Swine: Tales of Shame and Degradation in the '80's,5237,Hunter S. Thompson
10878,"The Great Shark Hunt: Strange Tales from a Strange Time (The Gonzo Papers, #1)",5237,Hunter S. Thompson
10880,"The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967",5237,Hunter S. Thompson
10880,"The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967",7109,Douglas Brinkley
10882,Hell's Angels,5237,Hunter S. Thompson
10882,Hell's Angels,134562,Sylvie Durastanti
10883,Benjamin Franklin: An American Life,7111,Walter Isaacson
10884,Einstein: His Life and Universe,7111,Walter Isaacson
10885,The Wise Men: Six Friends and the World They Made,7111,Walter Isaacson
10885,The Wise Men: Six Friends and the World They Made,7112,Evan Thomas
10890,Traveling Mercies: Some Thoughts on Faith,7113,Anne Lamott
10898,"PS, I Love You",7116,Cecelia Ahern
10898,"PS, I Love You",247733,Bernadette Dunne
10908,Harvesting the Heart,7128,Jodi Picoult
10909,The Tenth Circle,7128,Jodi Picoult
10910,Mercy,7128,Jodi Picoult
10911,Second Glance,7128,Jodi Picoult
10912,Picture Perfect,7128,Jodi Picoult
10913,Keeping Faith,7128,Jodi Picoult
10915,Salem Falls,7128,Jodi Picoult
10916,The Pact,7128,Jodi Picoult
10917,My Sister's Keeper,7128,Jodi Picoult
10920,Cold Mountain,7130,Charles Frazier
10927,His Lovely Wife,7136,Elizabeth Dewberry
10929,For One More Day,2331,Mitch Albom
10956,The Virgin Suicides,1467,Jeffrey Eugenides
10959,Sophie's World,1388082,Jostein Gaarder
10959,Sophie's World,5008438,Paulette Møller
10964,"Outlander (Outlander, #1)",3617,Diana Gabaldon
10965,"A Breath of Snow and Ashes (Outlander, #6)",3617,Diana Gabaldon
10967,"The Fiery Cross (Outlander, #5)",3617,Diana Gabaldon
10967,"The Fiery Cross (Outlander, #5)",6379691,Janos Farkas
10974,As I Lay Dying,3535,William Faulkner
10974,As I Lay Dying,12584,E.L. Doctorow
10975,The Sound and the Fury,3535,William Faulkner
10977,"Absalom, Absalom!",3535,William Faulkner
10979,Light in August,3535,William Faulkner
10982,Selected Short Stories,3535,William Faulkner
10985,The Town,3535,William Faulkner
10987,"Voyager (Outlander, #3)",3617,Diana Gabaldon
10988,"Drums of Autumn (Outlander, #4)",3617,Diana Gabaldon
10989,"The Outlandish Companion: Companion to Outlander, Dragonfly in Amber, Voyager, and Drums of Autumn",3617,Diana Gabaldon
10990,"Lord John and the Private Matter (Lord John Grey, #1)",3617,Diana Gabaldon
10993,The Eight,7172,Katherine Neville
11003,"Eleven on Top (Stephanie Plum, #11)",2384,Janet Evanovich
11012,Dubliners,5144,James Joyce
11012,Dubliners,621651,Jeri Johnson
11013,Finnegans Wake,5144,James Joyce
11015,Jane Eyre,1036615,Charlotte Brontë
11016,Jane Eyre,1036615,Charlotte Brontë
11016,Jane Eyre,8253,Stevie Davies
11022,"Purity of Blood (Adventures of Captain Alatriste, #2)",40398,Arturo Pérez-Reverte
11022,"Purity of Blood (Adventures of Captain Alatriste, #2)",30209,Margaret Sayers Peden
11027,No me cogeréis vivo: artículos 2001-2005,40398,Arturo Pérez-Reverte
11030,The Nautical Chart,40398,Arturo Pérez-Reverte
11030,The Nautical Chart,30209,Margaret Sayers Peden
11033,The Seville Communion,40398,Arturo Pérez-Reverte
11033,The Seville Communion,35336,Sonia Soto
11036,Little Birds,7190,Anaïs Nin
11037,"The Diary of Anaïs Nin, Vol. 2: 1934-1939",7190,Anaïs Nin
11037,"The Diary of Anaïs Nin, Vol. 2: 1934-1939",11071,Gunther Stuhlmann
11038,"Henry and June: From ""A Journal of Love"": The Unexpurgated Diary of Anaïs Nin, 1931-1932",7190,Anaïs Nin
11040,Cities of the Interior,7190,Anaïs Nin
11041,Delta of Venus,7190,Anaïs Nin
11043,House of Incest,7190,Anaïs Nin
11043,House of Incest,3854758,Val Telberg
11077,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,7209,J. Maarten Troost
11078,The Sex Lives Of Cannibals,7209,J. Maarten Troost
11086,"The Surprising Power of Family Meals: How Eating Together Makes Us Smarter, Stronger, Healthier and Happier",6477102,Miriam  Weinstein
11089,The Read-Aloud Handbook,7220,Jim Trelease
11095,The Working Poor: Invisible in America,7223,David K. Shipler
11104,"Eat Right 4 Your Type: The Individualized Diet Solution to Staying Healthy, Living Longer & Achieving Your Ideal Weight",2968853,Peter J. D'Adamo
11104,"Eat Right 4 Your Type: The Individualized Diet Solution to Staying Healthy, Living Longer & Achieving Your Ideal Weight",7235,Catherine Whitney
11112,Great Singers on Great Singing: A Famous Opera Star Interviews 40 Famous Opera Singers on the Technique of Singing,7238,Jerome Hines
11118,Gulliver's Travels,1831,Jonathan Swift
11118,Gulliver's Travels,168566,Albert J. Rivero
